dep,01-04-2020,01-05-2020,02-04-2020,02-05-2020,03-04-2020,03-05-2020,04-04-2020,04-05-2020,05-04-2020,05-05-2020,06-04-2020,06-05-2020,07-04-2020,07-05-2020,08-04-2020,08-05-2020,09-04-2020,09-05-2020,10-04-2020,10-05-2020,11-04-2020,11-05-2020,12-04-2020,12-05-2020,13-04-2020,13-05-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-03-2020,18-04-2020,19-03-2020,19-04-2020,20-03-2020,20-04-2020,21-03-2020,21-04-2020,22-03-2020,22-04-2020,23-03-2020,23-04-2020,24-03-2020,24-04-2020,25-03-2020,25-04-2020,26-03-2020,26-04-2020,27-03-2020,27-04-2020,28-03-2020,28-04-2020,29-03-2020,29-04-2020,30-03-2020,30-04-2020,31-03-2020
01,0.251146160694559,0.3700837365800487,0.2772921487091954,0.37165726903296203,0.26742139468290105,0.37165726903296203,0.2850303397410956,0.3685044821783556,0.29074482326552503,0.35402665880973283,0.2963850906182177,0.3440994955767216,0.3037932784660754,0.3322235158469251,0.3128792684797758,0.3305001227841911,0.3146738763305274,0.3270326833516536,0.32001362985123216,0.3305001227841911,0.30195304485716,0.3287698635955095,0.30195304485716,0.3322235158469251,0.30562574735313025,0.33904950284007995,0.3305001227841911,0.33904950284007995,0.3621294028348331,0.3605209029150024,0.007330038676401427,0.3931082701185945,0.007330038676401427,0.3916107014556999,0.007330038676401427,0.3885999824178942,0.014538411326575938,0.3870867596956537,0.028605859209301913,0.3840444041233349,0.0586844177306717,0.3794405325796099,0.07453634100186131,0.3825151966211703,0.09579975808237323,0.3763439456146871,0.10749863332210707,0.3809805855477023,0.15137637123458358,0.3763439456146871,0.16168651672076145,0.3685044821783556,0.16675123280153786,0.3747873329019926,0.19595850388732408,0.37322512085093995,0.20757134769633606
02,0.2684617523077177,0.3891984473051863,0.2945248719494624,0.3919634894248513,0.3212797188536088,0.3891984473051863,0.3351119224859553,0.3882728406421476,0.33301235599935336,0.38173776167307855,0.3351119224859553,0.38079609937461706,0.367393839593776,0.36348740910078536,0.3722279776833317,0.35756107904327755,0.38173776167307855,0.3555675273127745,0.3910437633676393,0.3545673092706993,0.39012208542853655,0.3545673092706993,0.39379711884029744,0.33301235599935336,0.3965331284052912,0.31911203538204225,0.39012208542853655,0.3910437633676393,0.3882728406421476,0.3882728406421476,0.08417427040866736,0.3826773866218345,0.08789097672052999,0.38641568800709336,0.10423341630666172,0.4125968060270883,0.11998312904185213,0.40463923336544383,0.13351891829026627,0.39012208542853655,0.16870369561145696,0.3919634894248513,0.19261310972606568,0.4019539745103926,0.20409166310442287,0.397441314603886,0.21665246901415475,0.40463923336544383,0.2275205865245105,0.39834760558783455,0.2301956456868105,0.4019539745103926,0.2328543285043133,0.39562303904897933,0.2315270215973748,0.3965331284052912,0.2433292283699499
03,0.09381263729804612,0.10477471553086284,0.08934913981883831,0.1069343146199512,0.09823072709807283,0.1069343146199512,0.1069343146199512,0.1112215605111846,0.10908322787072512,0.09823072709807283,0.11967113602288368,0.08934913981883831,0.12383506515815253,0.08934913981883831,0.12590215369593116,0.0848392915889891,0.1340735044763958,0.08710006963497917,0.13204503520298227,0.08934913981883831,0.14010267787260586,0.08710006963497917,0.1360925433611646,0.06394456004474361,0.1360925433611646,0.056750119177749025,0.1440761226245178,0.13810223913576505,0.14010267787260586,0.14209394446014742,0.010885143285030829,0.1340735044763958,0.0,0.1340735044763958,0.002746969828048457,0.1440761226245178,0.013564328104512809,0.13204503520298227,0.013564328104512809,0.13000704703374144,0.02411878391723231,0.12795945020961166,0.02411878391723231,0.12383506515815253,0.03186963476715855,0.12590215369593116,0.03948457822565425,0.13000704703374144,0.04696829841654723,0.12795945020961166,0.056750119177749025,0.12175809093697555,0.059161532823950515,0.10908322787072512,0.07567662088950917,0.1069343146199512,0.08934913981883831
04,0.1554964768231477,0.17296375663586006,0.17296375663586006,0.17296375663586006,0.19521161594952488,0.17296375663586006,0.19521161594952488,0.16139730784461545,0.20592225698472805,0.16139730784461545,0.22658225131894205,0.1554964768231477,0.19521161594952488,0.13729711783194595,0.2005999540764433,0.1247262117780724,0.20592225698472805,0.1247262117780724,0.22658225131894205,0.1247262117780724,0.22658225131894205,0.13105714723948567,0.22150865994987515,0.13105714723948567,0.2163750956631994,0.13105714723948567,0.22150865994987515,0.23655500827733514,0.22150865994987515,0.22150865994987515,0.02477636497185675,0.22150865994987515,0.02477636497185675,0.24145680390216204,0.02477636497185675,0.2743024875338326,0.03273069871707232,0.2558387300621361,0.03273069871707232,0.20592225698472805,0.03273069871707232,0.19521161594952488,0.03273069871707232,0.2005999540764433,0.06316658074654262,0.19521161594952488,0.07045357186802674,0.19521161594952488,0.0846707000418675,0.1842301337425876,0.09160845910942156,0.1842301337425876,0.09160845910942156,0.17863347791624426,0.13729711783194595,0.1842301337425876,0.14344870059505355
05,0.2833812903651098,0.21409328491959406,0.31053353640872466,0.2233833606898244,0.3289385990914487,0.2233833606898244,0.3142774775425992,0.21876316305307927,0.31053353640872466,0.2233833606898244,0.325319457464718,0.2233833606898244,0.3289385990914487,0.20937264624700974,0.3179894187883165,0.20937264624700974,0.2913138302016909,0.20937264624700974,0.2833812903651098,0.20937264624700974,0.275301159955318,0.2046001313857648,0.2712040118142729,0.19977458749647345,0.2712040118142729,0.1948948228783869,0.2586754175723346,0.2501176139370691,0.2413877826781732,0.2413877826781732,0.057511266815829236,0.2233833606898244,0.07077319748366609,0.2233833606898244,0.08993635677067532,0.2233833606898244,0.08993635677067532,0.2369561678790983,0.09614066917196017,0.2369561678790983,0.12589850380974973,0.2369561678790983,0.12589850380974973,0.2233833606898244,0.14831868083703176,0.2369561678790983,0.1799176669087341,0.2369561678790983,0.1948948228783869,0.21409328491959406,0.1948948228783869,0.21409328491959406,0.22795492376430784,0.19977458749647345,0.2233833606898244,0.20937264624700974,0.2413877826781732
06,0.11775334338137182,0.16369077205960333,0.14001589361040165,0.14848194107171533,0.15361095825150425,0.15169466826830294,0.16244351536688514,0.15297313396017698,0.16369077205960333,0.15361095825150425,0.1723226898694071,0.14719016593163928,0.1837695935458881,0.15678610386029454,0.18732260885162266,0.15615292911349368,0.1908467922304512,0.15868010809157435,0.19896034919264768,0.1574183568208521,0.19259821743746644,0.15297313396017698,0.1943426078476179,0.14783653378707895,0.19896034919264768,0.14198429620310904,0.20125093721305112,0.19896034919264768,0.19896034919264768,0.1902614107131904,0.02212204023198952,0.1978105087489176,0.028969552709962255,0.19953412980445298,0.037379855851955635,0.1978105087489176,0.039871512037692285,0.1937619225332643,0.039042547323507724,0.1978105087489176,0.056126945550942636,0.1943426078476179,0.0472618403735029,0.1937619225332643,0.06324798382457877,0.18791196228974325,0.07102567166940009,0.18732260885162266,0.08168560856434727,0.1885005170375012,0.08617525380535944,0.1867324545524892,0.09135517783463076,0.18554973464422947,0.09647404728775504,0.1753644061966395,0.1058233539664696
07,0.2557275019829573,0.3760946755167737,0.2511559389084739,0.374367856216268,0.2778901921557186,0.3708934818309661,0.2602514437430035,0.3656292418386089,0.2735472111449364,0.3929954260549752,0.2927574696979913,0.3656292418386089,0.3010299956639812,0.36386021909976224,0.3030737381739675,0.35671117731009816,0.3030737381739675,0.3549053764468358,0.29897659003292243,0.3549053764468358,0.2927574696979913,0.3476061377053363,0.2927574696979913,0.34205005576124875,0.3010299956639812,0.3288025738826306,0.3010299956639812,0.2906644801921475,0.2927574696979913,0.296913429469149,0.046576142041355136,0.30914788588616066,0.04287999648139144,0.3111538685837593,0.057479505051679876,0.2948404208462838,0.057479505051679876,0.296913429469149,0.08190410438309811,0.2927574696979913,0.10502790323023588,0.28219017264844265,0.1300301722002916,0.286447995790984,0.1622148555716928,0.2778901921557186,0.17335122168965236,0.2906644801921475,0.17881411739115458,0.2927574696979913,0.20000341646109265,0.3476061377053363,0.2102225816427787,0.3708934818309661,0.2251141370441237,0.374367856216268,0.2602514437430035
08,0.1969654350939516,0.17284851185851766,0.2308017084920428,0.17900445450021282,0.2335059169919612,0.17593739032709094,0.23619339142125806,0.1697375065647895,0.2493868264661344,0.1697375065647895,0.2493868264661344,0.1969654350939516,0.2672091476900743,0.1969654350939516,0.2545539841704848,0.1969654350939516,0.2621912469003033,0.19402304930027325,0.25197809001221405,0.19402304930027325,0.2388643376130189,0.19402304930027325,0.2647074444481369,0.18205001033251947,0.2647074444481369,0.18205001033251947,0.2621912469003033,0.2415189576258363,0.2335059169919612,0.23619339142125806,0.0,0.23619339142125806,0.0,0.2335059169919612,0.004590893510156981,0.2308017084920428,0.013629606480747923,0.22808055621932466,0.018079383952691618,0.2113855672710041,0.026844454052061758,0.21421301529116246,0.0224840310580184,0.1969654350939516,0.0224840310580184,0.1969654350939516,0.05619984740459875,0.19402304930027325,0.060236070526053426,0.19106059250703986,0.10232213805552058,0.19402304930027325,0.12018215807147295,0.17284851185851766,0.12018215807147295,0.17284851185851766,0.17900445450021282
09,0.13469857389745624,0.06411749961174898,0.14187715852457958,0.06411749961174898,0.13469857389745624,0.06411749961174898,0.12739933515595672,0.06411749961174898,0.14893901301206647,0.06411749961174898,0.14893901301206647,0.06411749961174898,0.1558878729673943,0.019305155195386624,0.16272729749769976,0.028645181449530013,0.14893901301206647,0.028645181449530013,0.12739933515595672,0.028645181449530013,0.12739933515595672,0.028645181449530013,0.13469857389745624,0.028645181449530013,0.13469857389745624,0.028645181449530013,0.13469857389745624,0.14893901301206647,0.14893901301206647,0.11997531707674985,0.009759837289156241,0.11997531707674985,0.009759837289156241,0.11242217918630397,0.019305155195386624,0.11242217918630397,0.019305155195386624,0.10473535052001297,0.019305155195386624,0.10473535052001297,0.028645181449530013,0.11242217918630397,0.028645181449530013,0.09691001300805642,0.06411749961174898,0.09691001300805642,0.06411749961174898,0.09691001300805642,0.07255066714861175,0.08894108333678108,0.07255066714861175,0.08894108333678108,0.08082319311460164,0.08894108333678108,0.09691001300805642,0.08894108333678108,0.10473535052001297
10,0.24511209941874915,0.469653214210091,0.28264648519338803,0.4760987834247692,0.2944701142227025,0.4683525409350988,0.3509040524194885,0.469653214210091,0.3626925286876377,0.4604656205190349,0.3676483962567149,0.34228339458563595,0.37739363271271054,0.30786942019428665,0.3709211659413757,0.305980359008361,0.44424863443599627,0.30786942019428665,0.4591370955249358,0.3040830450169227,0.4670479605551856,0.305980359008361,0.4924228451831225,0.30217740579482816,0.5175612590561717,0.29640979802723605,0.5335465618262042,0.524484271995756,0.5210365601983314,0.5187227855091798,0.018738647830013173,0.524484271995756,0.02239127223646255,0.526767634153099,0.043684481937809855,0.5128838365473348,0.043684481937809855,0.5033750936680252,0.07378621416091864,0.5093424104389249,0.11092802216548524,0.5198812137284398,0.1197375429224922,0.4837092786745522,0.14239167346615794,0.4811872362680099,0.17939776303029153,0.4799207014482278,0.18693342603966065,0.4748172998100982,0.1943405609388198,0.4849648287884213,0.19678179548321645,0.4760987834247692,0.20878627677711453,0.4811872362680099,0.2295920131449064
