dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-03-21,2020-04-11,2020-03-24,2020-04-14,2020-03-23,2020-04-13,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-03-27,2020-04-17,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
01,0.14127659574468085,0.41617021276595745,0.4085106382978723,0.18127659574468086,0.4238297872340426,0.16936170212765958,0.42127659574468085,0.21106382978723404,0.4306382978723404,0.2025531914893617,0.4272340425531915,0.2323404255319149,0.2195744680851064,0.43148936170212765,0.10893617021276596,0.39659574468085107,0.09191489361702128,0.38638297872340427,0.07574468085106383,0.3829787234042553,0.005957446808510639,0.2825531914893617,0.003404255319148936,0.27914893617021275,0.02723404255319149,0.3046808510638298,0.017872340425531916,0.2927659574468085,0.04851063829787234,0.3472340425531915,0.0374468085106383,0.334468085106383,0.06723404255319149,0.38042553191489364,0.06127659574468085,0.35404255319148936,8.51063829787234E-4,0.2731914893617021,8.51063829787234E-4,0.25872340425531914,0.24851063829787234
02,0.18570683359415754,0.5618153364632238,0.5492957746478874,0.24569640062597808,0.5805946791862285,0.21544079290558163,0.575378195096505,0.2717788210745957,0.5884194053208138,0.2676056338028169,0.5863328116849243,0.3145539906103286,0.27856025039123633,0.6009389671361502,0.1643192488262911,0.5341679707876891,0.13406364110589464,0.4856546687532603,0.12936880542514345,0.4303599374021909,0.046948356807511735,0.38028169014084506,0.040166927490871154,0.3761085028690663,0.08502869066249348,0.38914971309337504,0.06103286384976526,0.38497652582159625,0.10485133020344288,0.41053729786124155,0.09285341679707877,0.40375586854460094,0.1267605633802817,0.42618675013041213,0.11319770474700053,0.41992696922274386,0.025039123630672927,0.36306729264475746,0.0198226395409494,0.3458528951486698,0.325508607198748
03,0.05710659898477157,0.1218274111675127,0.1199238578680203,0.06408629441624365,0.12626903553299493,0.060279187817258884,0.12309644670050761,0.0717005076142132,0.1281725888324873,0.06789340101522842,0.1281725888324873,0.07868020304568528,0.07550761421319797,0.1281725888324873,0.05139593908629442,0.116751269035533,0.048223350253807105,0.11357868020304568,0.03934010152284264,0.11040609137055837,0.008883248730964468,0.0983502538071066,0.007614213197969543,0.09581218274111675,0.01713197969543147,0.10406091370558376,0.015862944162436547,0.10025380710659898,0.027918781725888325,0.10786802030456853,0.020939086294416244,0.10532994923857868,0.037436548223350255,0.11040609137055837,0.031725888324873094,0.10913705583756345,0.004441624365482234,0.09073604060913705,0.0019035532994923859,0.08692893401015228,0.0850253807106599
04,0.10176125244618395,0.26810176125244617,0.2622309197651663,0.14090019569471623,0.2759295499021526,0.13111545988258316,0.273972602739726,0.14481409001956946,0.27788649706457924,0.14090019569471623,0.2759295499021526,0.16829745596868884,0.16634050880626222,0.27788649706457924,0.09393346379647749,0.25440313111545987,0.08414872798434442,0.25244618395303325,0.0547945205479452,0.2328767123287671,0.003913894324853229,0.19373776908023482,0.003913894324853229,0.19373776908023482,0.003913894324853229,0.20939334637964774,0.003913894324853229,0.19373776908023482,0.03913894324853229,0.2172211350293542,0.03718199608610567,0.2172211350293542,0.0547945205479452,0.22113502935420742,0.046966731898238745,0.2191780821917808,0.0019569471624266144,0.18786692759295498,0.0019569471624266144,0.1761252446183953,0.17416829745596868
05,0.13451327433628318,0.2247787610619469,0.22300884955752212,0.1592920353982301,0.23185840707964603,0.1486725663716814,0.22654867256637168,0.16460176991150444,0.23185840707964603,0.16106194690265488,0.23185840707964603,0.17876106194690267,0.1752212389380531,0.23185840707964603,0.12035398230088495,0.22123893805309736,0.1079646017699115,0.21061946902654868,0.0920353982300885,0.21061946902654868,0.021238938053097345,0.1911504424778761,0.01592920353982301,0.18938053097345134,0.03716814159292035,0.19469026548672566,0.03008849557522124,0.19469026548672566,0.061946902654867256,0.20530973451327433,0.049557522123893805,0.20176991150442478,0.07787610619469026,0.21061946902654868,0.07079646017699115,0.20707964601769913,0.010619469026548672,0.18761061946902655,0.007079646017699115,0.184070796460177,0.18230088495575222
06,0.05309364548494983,0.15802675585284282,0.15572742474916387,0.06960702341137123,0.16158026755852842,0.062081939799331104,0.16032608695652173,0.0798494983277592,0.16471571906354515,0.07755016722408027,0.16262541806020067,0.09406354515050168,0.08632943143812709,0.16659698996655517,0.044732441471571904,0.15112876254180602,0.04013377926421405,0.14862040133779264,0.03783444816053512,0.14464882943143811,0.008570234113712374,0.11789297658862877,0.008152173913043478,0.11663879598662208,0.015677257525083612,0.12834448160535117,0.013168896321070234,0.12249163879598662,0.025292642140468228,0.13482441471571907,0.021739130434782608,0.131061872909699,0.0338628762541806,0.1436036789297659,0.029264214046822744,0.14005016722408026,0.007107023411371237,0.11433946488294314,0.002508361204013378,0.10618729096989966,0.10075250836120402
07,0.20471698113207548,0.38113207547169814,0.37358490566037733,0.2349056603773585,0.3886792452830189,0.2169811320754717,0.3839622641509434,0.24245283018867925,0.4047169811320755,0.2358490566037736,0.39528301886792455,0.2792452830188679,0.2650943396226415,0.4339622641509434,0.19056603773584907,0.36981132075471695,0.15943396226415094,0.3641509433962264,0.13962264150943396,0.3613207547169811,0.02169811320754717,0.30849056603773584,0.018867924528301886,0.30660377358490565,0.035849056603773584,0.3292452830188679,0.02830188679245283,0.3179245283018868,0.08773584905660377,0.33962264150943394,0.07641509433962264,0.33584905660377357,0.1311320754716981,0.360377358490566,0.09905660377358491,0.35283018867924526,0.013207547169811321,0.30377358490566037,0.006603773584905661,0.2943396226415094,0.28773584905660377
08,0.06801275239107332,0.25398512221041447,0.2518597236981934,0.0871413390010627,0.2614240170031881,0.0818278427205101,0.25823591923485656,0.10945802337938364,0.2688629117959617,0.09883103081827843,0.26567481402763016,0.13177470775770456,0.1179596174282678,0.26992561105207225,0.06057385759829968,0.2412327311370882,0.036131774707757705,0.23698193411264612,0.036131774707757705,0.23379383634431455,0.004250797024442083,0.1806588735387885,0.003188097768331562,0.15621679064824653,0.005313496280552604,0.1902231668437832,0.005313496280552604,0.1806588735387885,0.015940488841657812,0.20085015940488843,0.007438894792773645,0.19766206163655686,0.028692879914984058,0.22741764080765142,0.01700318809776833,0.2157279489904357,0.0010626992561105207,0.153028692879915,0.0010626992561105207,0.1434643995749203,0.13177470775770456
09,0.045454545454545456,0.09318181818181819,0.09090909090909091,0.05,0.09545454545454546,0.05,0.09545454545454546,0.05909090909090909,0.09545454545454546,0.05227272727272727,0.09545454545454546,0.0659090909090909,0.06136363636363636,0.09545454545454546,0.03409090909090909,0.09090909090909091,0.02727272727272727,0.09090909090909091,0.022727272727272728,0.08863636363636364,0.006818181818181818,0.07954545454545454,0.004545454545454545,0.07727272727272727,0.00909090909090909,0.07954545454545454,0.00909090909090909,0.07954545454545454,0.020454545454545454,0.08409090909090909,0.020454545454545454,0.08409090909090909,0.022727272727272728,0.08863636363636364,0.022727272727272728,0.08863636363636364,0.0022727272727272726,0.07727272727272727,0.0,0.075,0.07272727272727272
10,0.1128747795414462,0.6067019400352733,0.5811287477954145,0.14109347442680775,0.6428571428571429,0.13315696649029982,0.6322751322751323,0.18430335097001763,0.6481481481481481,0.17548500881834214,0.6428571428571429,0.1984126984126984,0.18694885361552027,0.6746031746031746,0.08289241622574955,0.5476190476190477,0.07142857142857142,0.5414462081128748,0.06613756613756613,0.5299823633156967,0.020282186948853614,0.4462081128747795,0.012345679012345678,0.42504409171075835,0.03262786596119929,0.48412698412698413,0.029982363315696647,0.4673721340388007,0.0582010582010582,0.5097001763668431,0.047619047619047616,0.49382716049382713,0.06525573192239859,0.5264550264550265,0.06172839506172839,0.5211640211640212,0.007054673721340388,0.41710758377425045,0.005291005291005291,0.36243386243386244,0.2239858906525573
