dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-03-21,2020-04-11,2020-03-24,2020-04-14,2020-03-23,2020-04-13,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-03-27,2020-04-17,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
01,0.7115795871053588,0.3548281582466839,0.42746173663958487,0.4922427743249186,0.1768930980972821,0.6605528450080271,0.28878117309786566,0.4176321485238514,0.22264292892673695,0.5882157548154653,0.2229270791556561,0.4827638501412446,0.4146590764403245,0.0,0.6174182992696232,0.40443222222754627,0.6288672479124264,0.22658913649879572,0.5129809820463254,0.1798277568202597,0.5645750340535797,0.23880484580337646,0.792481250360578,0.3359063659438027,0.6918863237274595,0.4487785946815251,0.8668214419824227,0.42545096849949376,0.63440930810539,0.45049573118842995,0.6566548958105609,0.5951559042700914,0.44534463272210434,0.5627126968540964,0.6332152489204042,0.3448101587032167,0.0,0.49090223457389864,0.0,0.43465009784311276,0.5186835789831011
02,0.6321048258837487,0.45518240678274396,0.48384868665236885,0.6597135057417277,0.32824604867488094,0.6712188004356903,0.4650577585290524,0.3324048320026879,0.1972473860519326,0.5989590381931401,0.341354459475895,0.6613810167307126,0.40840568385036685,0.45083542898014595,0.705848194448066,0.6539158811108031,0.395962236545493,0.682162408557674,0.2919123446645773,0.30965343630437375,0.5700128550711082,0.3154648767857287,0.7751949046901617,0.4891433427234319,0.7516350911520365,0.3143655031760925,0.6920866207597475,0.3327140017683521,0.5912340079040806,0.38465230371655107,0.5226096719052581,0.5009649709124885,0.59312945460885,0.37056969733022577,0.5153608963217796,0.4319892231881032,0.5947986391060673,0.5341972152619627,1.0,0.5639046529491761,0.47303469674757465
03,0.4882927808755416,0.20896115182777272,0.30704227193913664,0.3882367670984233,0.30405162100557265,0.3534214803660261,0.13158045635063056,0.3790168139232757,0.0,0.38344213595283183,0.2069624878198895,0.3338887761076433,0.37491382505822207,0.0,0.3662433801794818,0.30862085119376764,0.6093788562471903,0.3102599214081876,0.2661925166888179,0.0,0.26264953503719357,0.27487160589918747,0.647685462377997,0.4144559620577013,0.21030991785715247,0.3513345877947806,0.7449480512024891,0.21700576117605055,0.6336614981727329,0.26992771973272894,0.5124426124439919,0.13559249537698637,0.538860674503477,0.13435544694887794,0.45801353078493934,0.13465719753215488,0.7124143742160444,0.3610347699186826,1.0,0.223296046312048,0.47012258200383017
04,0.350850127163909,0.223296046312048,0.2830419976443053,0.37633003551008753,0.0,0.6440542618058157,0.22231723680403737,0.16104477175644444,0.0,0.0,0.0,0.0,0.5397442055113509,0.0,0.415746407355026,0.0,0.7199963091043476,0.47380122963748156,0.0,0.37491382505822207,0.0,0.0,0.0,0.23908240143854606,0.0,0.4450070001160852,0.0,0.0,0.0,0.0,0.9622251858852542,0.29435937383597044,0.4160291953530189,0.0,0.43620858397106316,0.0,0.0,0.3925553866765471,0.0,0.0,0.24475412980126737
05,0.480159219764464,0.0,0.0,0.39818561239203437,0.22534724562630398,0.4693133650262146,0.0,0.15292486830283214,0.0,0.0,0.0,0.15019048322368797,0.3899266020614402,0.0,0.46116994801745437,0.37109425085312614,0.5344908771065096,0.0,0.5262751907458635,0.0,0.44211410869774026,0.0,0.5,0.0,0.455340497393906,0.0,0.568060967173733,0.14746305199023915,0.5473191697130572,0.14581551052860536,0.583970804646981,0.2927019161517239,0.36633850182726724,0.14503646569481304,0.4362945258726773,0.0,0.3868528072345416,0.14863433757183497,1.0,0.0,0.14955506186451525
06,0.6661832709081038,0.3617803717122449,0.4673919360027288,0.6169819257426957,0.26942620845491294,0.6605860662220198,0.36099360744003284,0.40331802081877666,0.3452411353855132,0.6148515755939545,0.2417761803175091,0.5910577143462772,0.5701032758213227,0.3288837555936927,0.5760447763286785,0.377449823630009,0.45609080048957196,0.4483913291917723,0.5664019737738456,0.24610700484050563,0.18665241123894338,0.2828325375121066,0.43930963032501014,0.37915230414048023,0.5755445259935403,0.5190353804744987,0.7460637071897641,0.48499723149204527,0.5907708681434248,0.4467861987643368,0.7250242072881935,0.3982255311824854,0.6075644075675527,0.4337214259578769,0.595842177024963,0.494657822693176,0.8765531577900052,0.5811073673438691,1.0,0.5229285353682841,0.5609853114270726
07,0.5033646597959844,0.3464918829918122,0.23176698890230235,0.5336591058263644,0.26730305116786734,0.4716645734189241,0.18283349053515108,0.3506728181925905,0.3798732093275791,0.0,0.3222841585822453,0.4759014299253773,0.5636491524084063,0.5600816101599648,0.6586908876465072,0.3000637917581135,0.5934858769953468,0.18445975276299842,0.4396900625718618,0.0,0.350379306422211,0.11971536247243827,0.5981040045018438,0.18994562491696648,0.5716542372803202,0.42440241261003764,0.5721250285404937,0.39562754011387286,0.5482299182933746,0.23551985383077748,0.8558979711244199,0.33122265405384643,0.7146375829325441,0.34975516091656184,0.5339337817314866,0.4454664720532489,0.7373504649628064,0.3987469978981657,1.0,0.3388314589805285,0.38410923445143824
08,0.4678924870096007,0.12656839107702583,0.4210972508645534,0.3652236101569801,0.19955424691458706,0.590484404425041,0.25237190142858296,0.4968111617403508,0.19854237459809662,0.5290331246827621,0.2510738338534912,0.5321160854510346,0.44153906075395566,0.0,0.775526702041677,0.25554048547040703,0.0,0.2031768797260619,0.5518182657364912,0.33219933223601955,0.0,0.6105173819340963,0.6309297535714574,0.2201436988806717,0.0,0.42357068850792756,0.0,0.0,0.7678740744294463,0.20958895679470507,0.3562071871080222,0.3723697818808789,0.7275527795480461,0.4468702927641777,0.0,0.49669772638688486,0.0,0.44211410869774026,0.0,0.4888401529183507,0.0
09,0.5372435736804817,0.0,0.0,0.0,0.0,0.22424382421757547,0.0,0.33719451705849546,0.0,0.0,0.0,0.20584683246043445,0.0,0.0,0.4056838710822129,0.0,0.2789429456511298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7324867603589637,0.19195872000656017,0.0,0.0,0.0,0.18920035951687006,0.0,0.0,0.0,0.0,0.3169925001442312
10,0.7267804058929056,0.5153664915579915,0.5604284546075948,0.43293582788060386,0.37697658452381916,0.6249390741417421,0.5121303406409667,0.431007305869564,0.27148403433700063,0.6921123508734126,0.0,0.4735786205915921,0.20509560237324445,0.5122381000462259,0.5645571067655861,0.3025672484070445,0.4077324383928644,0.3995251376626554,0.0,0.21665605891656442,0.700758612844422,0.5104047400899072,0.6789391989029928,0.35565627282691586,0.3042473728968298,0.4667712475428387,0.6799915255571827,0.5066341691430317,0.5931053518233621,0.4544914199572868,0.7102593820841355,0.3789379310747851,0.3220895435128889,0.28031644300798086,0.3263024393670216,0.40191527779330516,0.33333333333333337,0.6700877522950053,1.0,0.8401042611037342,0.6081077405860718
