dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-03-21,2020-04-11,2020-03-24,2020-04-14,2020-03-23,2020-04-13,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-03-27,2020-04-17,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
01,0.4,0.0,0.010526315789473684,0.06666666666666667,0.0,0.16666666666666666,0.0,0.06896551724137931,0.0,0.16666666666666666,0.0,0.047619047619047616,0.03333333333333333,0.0,0.0,0.031914893617021274,0.2857142857142857,0.01098901098901099,0.13333333333333333,0.011111111111111112,1.0,0.024691358024691357,NaN,0.0379746835443038,0.3333333333333333,0.012048192771084338,0.5,0.012195121951219513,0.2857142857142857,0.011904761904761904,0.4,0.0,0.23076923076923078,0.033707865168539325,0.3,0.023255813953488372,NaN,0.02631578947368421,NaN,0.04054054054054054,0.11267605633802817
02,0.08163265306122448,0.010309278350515464,0.010416666666666666,0.07407407407407407,0.0,0.02,0.01020408163265306,0.0,0.0,0.06896551724137931,0.0,0.06349206349206349,0.01694915254237288,0.06666666666666667,0.13333333333333333,0.010526315789473684,0.10256410256410256,0.07446808510638298,0.02857142857142857,0.011494252873563218,0.0625,0.012658227848101266,0.2,0.0,0.19047619047619047,0.0125,0.058823529411764705,0.0,0.10344827586206896,0.011764705882352941,0.19230769230769232,0.047619047619047616,0.058823529411764705,0.0,0.09375,0.011627906976744186,0.25,0.07692307692307693,1.0,0.05555555555555555,0.07352941176470588
03,0.058823529411764705,0.0,0.02702702702702703,0.047619047619047616,0.0,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.125,0.0,0.2857142857142857,0.0,0.3,0.027777777777777776,0.0,0.0,0.0,0.030303030303030304,0.0,0.05714285714285714,0.5,0.0,0.25,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.3333333333333333,0.0,0.0,0.0625,1.0,0.03333333333333333,0.10344827586206896
04,0.25,0.0,0.0,0.2,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,NaN,0.0,NaN,0.0,NaN,0.1111111111111111,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.125,NaN,0.0,0.0
05,0.16666666666666666,0.0,0.0,0.15,0.0,0.29411764705882354,0.0,0.0,0.0,0.047619047619047616,0.0,0.043478260869565216,0.045454545454545456,0.0,0.1,0.0,0.0,0.038461538461538464,0.2222222222222222,0.0,NaN,0.0,NaN,0.0,0.25,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,NaN,0.0,NaN,0.0,0.08
06,0.18,0.01764705882352941,0.023952095808383235,0.11842105263157894,0.005681818181818182,0.2537313432835821,0.02857142857142857,0.022222222222222223,0.016304347826086956,0.13636363636363635,0.027624309392265192,0.09821428571428571,0.10891089108910891,0.010752688172043012,0.07317073170731707,0.0,0.13157894736842105,0.024539877300613498,0.15151515151515152,0.0,0.125,0.013888888888888888,0.0,0.014084507042253521,0.07142857142857142,0.02631578947368421,0.38461538461538464,0.02702702702702703,0.05,0.012903225806451613,0.2631578947368421,0.006535947712418301,0.14285714285714285,0.006289308176100629,0.16666666666666666,0.0189873417721519,0.42857142857142855,0.05,1.0,0.03759398496240601,0.125
07,0.10526315789473684,0.0,0.0,0.08333333333333333,0.03773584905660377,0.13636363636363635,0.0196078431372549,0.04,0.0,0.0,0.0,0.03333333333333333,0.13793103448275862,0.0,0.29411764705882354,0.06,0.08333333333333333,0.02127659574468085,0.09090909090909091,0.0,0.3333333333333333,0.025,0.0,0.05128205128205128,0.4,0.09090909090909091,0.0,0.0,0.14285714285714285,0.0,0.16666666666666666,0.022222222222222223,0.1,0.0,0.2222222222222222,0.021739130434782608,0.5,0.05405405405405406,1.0,0.05714285714285714,0.09090909090909091
08,0.0,0.0,0.05405405405405406,0.0,0.02564102564102564,0.047619047619047616,0.02631578947368421,0.0,0.0,0.08695652173913043,0.0,0.041666666666666664,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.1,0.5,0.0,0.5714285714285714,0.0,0.3333333333333333,0.03225806451612903,0.0,0.02857142857142857,0.2222222222222222,0.08823529411764706,0.0,0.0,1.0,0.07692307692307693,0.0
09,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,NaN,0.0,NaN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,NaN,0.0,NaN,0.0,0.0
10,0.2777777777777778,0.023255813953488372,0.0,0.0,0.0,0.1,0.0,0.038461538461538464,0.0,0.2,0.0,0.07142857142857142,0.0,0.14,0.07692307692307693,0.11904761904761904,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.5,0.0,0.0,0.027777777777777776,0.2,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.06666666666666667
