dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-03-21,2020-04-11,2020-03-24,2020-04-14,2020-03-23,2020-04-13,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-03-27,2020-04-17,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
01,5.327609958064099E-5,1.4460655600459697E-4,1.4460655600459697E-4,6.849784231796698E-5,1.4460655600459697E-4,6.393131949676919E-5,1.4460655600459697E-4,8.828610787649078E-5,1.4460655600459697E-4,8.219741078156038E-5,1.4460655600459697E-4,9.589697924515377E-5,9.133045642395598E-5,1.4460655600459697E-4,3.1965659748384596E-5,1.4308438173086437E-4,3.1965659748384596E-5,1.3851785890966656E-4,2.2832614105988996E-5,1.3699568463593396E-4,1.5221742737325996E-6,1.2329611617234058E-4,0.0,1.2025176762487538E-4,4.566522821197799E-6,1.2634046471980578E-4,3.0443485474651992E-6,1.2481829044607318E-4,1.0655219916128197E-5,1.2786263899353838E-4,7.610871368662998E-6,1.2634046471980578E-4,1.9788265558523794E-5,1.3547351036220136E-4,1.5221742737325996E-5,1.3090698754100356E-4,0.0,1.1568524480367757E-4,0.0,1.1264089625621237E-4,1.0807437343501457E-4
02,9.314703925482368E-5,1.8439311852485506E-4,1.8249215854006272E-4,1.0265183917878529E-4,1.8629407850964737E-4,9.5047999239616E-5,1.8629407850964737E-4,1.1025567911795456E-4,1.8629407850964737E-4,1.1025567911795456E-4,1.8629407850964737E-4,1.1976047904191617E-4,1.1215663910274688E-4,1.996007984031936E-4,8.554319931565441E-5,1.8059119855527042E-4,7.413743940690049E-5,1.7869023857047808E-4,6.65335994677312E-5,1.6538351867693185E-4,3.0415359756677122E-5,1.5017583879859328E-4,2.85143997718848E-5,1.4827487881380097E-4,3.9920159680638724E-5,1.520767987833856E-4,3.231631974146944E-5,1.5017583879859328E-4,5.512783955897728E-5,1.615815987073472E-4,4.9424959604600323E-5,1.596806387225549E-4,6.463263948293888E-5,1.6348255869213954E-4,6.0830719513354244E-5,1.6348255869213954E-4,2.281151981750784E-5,1.4827487881380097E-4,1.710863986313088E-5,1.3686911890504704E-4,1.2926527896587776E-4
03,5.13106862049711E-5,1.1167619938729004E-4,1.1167619938729004E-4,6.33837888414349E-5,1.1167619938729004E-4,6.036551318231894E-5,1.1167619938729004E-4,7.545689147789868E-5,1.1167619938729004E-4,6.33837888414349E-5,1.1167619938729004E-4,7.847516713701462E-5,7.847516713701462E-5,1.1167619938729004E-4,4.8292410545855156E-5,1.086579237281741E-4,4.2255859227623256E-5,1.086579237281741E-4,3.018275659115947E-5,1.086579237281741E-4,3.0182756591159472E-6,9.960309675082625E-5,3.0182756591159472E-6,9.960309675082625E-5,6.0365513182318945E-6,1.0563964806905814E-4,6.0365513182318945E-6,9.960309675082625E-5,1.2073102636463789E-5,1.0563964806905814E-4,9.054826977347841E-6,1.0563964806905814E-4,2.1127929613811628E-5,1.0563964806905814E-4,1.8109653954695682E-5,1.0563964806905814E-4,3.0182756591159472E-6,9.658482109171031E-5,3.0182756591159472E-6,9.05482697734784E-5,8.752999411436247E-5
04,2.4213514773270702E-5,5.448040823985908E-5,5.448040823985908E-5,3.0266893466588378E-5,5.448040823985908E-5,2.4213514773270702E-5,5.448040823985908E-5,4.237365085322373E-5,5.448040823985908E-5,3.0266893466588378E-5,5.448040823985908E-5,4.237365085322373E-5,4.237365085322373E-5,5.448040823985908E-5,1.8160136079953027E-5,5.448040823985908E-5,1.8160136079953027E-5,5.448040823985908E-5,0.0,5.448040823985908E-5,0.0,5.448040823985908E-5,0.0,5.448040823985908E-5,0.0,5.448040823985908E-5,0.0,5.448040823985908E-5,0.0,5.448040823985908E-5,0.0,5.448040823985908E-5,0.0,5.448040823985908E-5,0.0,5.448040823985908E-5,0.0,4.8427029546541404E-5,0.0,4.237365085322373E-5,4.237365085322373E-5
05,8.465250148141877E-5,1.8341375320974067E-4,1.8341375320974067E-4,1.4108750246903128E-4,1.8341375320974067E-4,1.199243770986766E-4,1.8341375320974067E-4,1.4814187759248286E-4,1.8341375320974067E-4,1.4814187759248286E-4,1.8341375320974067E-4,1.62250627839386E-4,1.551962527159344E-4,1.8341375320974067E-4,7.054375123451564E-5,1.8341375320974067E-4,6.348937611106409E-5,1.8341375320974067E-4,6.348937611106409E-5,1.7635937808628912E-4,0.0,1.7635937808628912E-4,0.0,1.7635937808628912E-4,2.8217500493806258E-5,1.7635937808628912E-4,2.1163125370354693E-5,1.7635937808628912E-4,4.2326250740709385E-5,1.7635937808628912E-4,2.8217500493806258E-5,1.7635937808628912E-4,4.938062586416095E-5,1.7635937808628912E-4,4.938062586416095E-5,1.7635937808628912E-4,0.0,1.7635937808628912E-4,0.0,1.7635937808628912E-4,1.7635937808628912E-4
06,4.632220241690723E-5,1.574954882174846E-4,1.5471615607247016E-4,7.040974767369899E-5,1.6305415250751347E-4,6.20717512386557E-5,1.621277084591753E-4,8.337996435043302E-5,1.704657048942186E-4,8.152707625375673E-5,1.6768637274920418E-4,1.0376173341387221E-4,9.357084888215261E-5,1.723185929908949E-4,3.798420598186393E-5,1.510103798791176E-4,3.5204873836849495E-5,1.510103798791176E-4,3.0572653595158774E-5,1.47304603685765E-4,7.411552386705158E-6,1.3340794296069284E-4,6.485108338367013E-6,1.3155505486401654E-4,1.2970216676734026E-5,1.4081949534739798E-4,1.2043772628395881E-5,1.371137191540454E-4,1.8528880966762894E-5,1.4359882749241242E-4,1.7602436918424748E-5,1.4174593939573615E-4,2.5940433353468052E-5,1.47304603685765E-4,2.2234657160115473E-5,1.4637815963742685E-4,6.485108338367013E-6,1.2970216676734027E-4,3.705776193352579E-6,1.2321705842897323E-4,1.1858483818728252E-4
07,5.812619502868069E-5,1.5296367112810707E-4,1.5296367112810707E-4,7.34225621414914E-5,1.621414913957935E-4,6.730401529636711E-5,1.5602294455066922E-4,7.648183556405354E-5,1.621414913957935E-4,7.34225621414914E-5,1.621414913957935E-4,9.177820267686424E-5,8.87189292543021E-5,1.621414913957935E-4,5.200764818355641E-5,1.5296367112810707E-4,3.67112810707457E-5,1.4378585086042065E-4,3.3652007648183555E-5,1.407265774378585E-4,9.177820267686425E-6,1.2237093690248567E-4,6.118546845124283E-6,1.1931166347992352E-4,1.529636711281071E-5,1.3460803059273422E-4,9.177820267686425E-6,1.2237093690248567E-4,2.141491395793499E-5,1.3766730401529637E-4,1.835564053537285E-5,1.3766730401529637E-4,3.059273422562142E-5,1.407265774378585E-4,2.7533460803059273E-5,1.407265774378585E-4,6.118546845124283E-6,1.1319311663479923E-4,3.0592734225621415E-6,1.0707456978967495E-4,1.0095602294455067E-4
08,7.532077233919957E-5,1.393434288275192E-4,1.393434288275192E-4,7.908681095615955E-5,1.4687550606143915E-4,7.908681095615955E-5,1.4310946744447916E-4,8.66188881900795E-5,1.4687550606143915E-4,8.66188881900795E-5,1.4687550606143915E-4,9.038492680703947E-5,8.66188881900795E-5,1.4687550606143915E-4,7.532077233919957E-5,1.3181135159359925E-4,4.519246340351974E-5,1.3181135159359925E-4,4.519246340351974E-5,1.3181135159359925E-4,3.7660386169599784E-6,1.0168304265791941E-4,3.7660386169599784E-6,1.0168304265791941E-4,7.532077233919957E-6,1.1298115850879936E-4,7.532077233919957E-6,1.0168304265791941E-4,2.6362270318719848E-5,1.1674719712575933E-4,1.1298115850879934E-5,1.1674719712575933E-4,3.38943475526398E-5,1.3181135159359925E-4,3.38943475526398E-5,1.2804531297663926E-4,3.7660386169599784E-6,9.791700404095944E-5,3.7660386169599784E-6,9.791700404095944E-5,9.038492680703947E-5
09,4.593236131707765E-5,5.249412721951732E-5,5.249412721951732E-5,4.593236131707765E-5,5.249412721951732E-5,4.593236131707765E-5,5.249412721951732E-5,4.593236131707765E-5,5.249412721951732E-5,4.593236131707765E-5,5.249412721951732E-5,4.593236131707765E-5,4.593236131707765E-5,5.249412721951732E-5,2.624706360975866E-5,5.249412721951732E-5,2.624706360975866E-5,5.249412721951732E-5,1.9685297707318994E-5,5.249412721951732E-5,0.0,4.593236131707765E-5,0.0,4.593236131707765E-5,1.312353180487933E-5,4.593236131707765E-5,1.312353180487933E-5,4.593236131707765E-5,1.312353180487933E-5,4.593236131707765E-5,1.312353180487933E-5,4.593236131707765E-5,1.312353180487933E-5,5.249412721951732E-5,1.312353180487933E-5,5.249412721951732E-5,0.0,4.593236131707765E-5,0.0,4.593236131707765E-5,4.593236131707765E-5
10,5.808194071124563E-5,1.387513028101979E-4,1.355245283262398E-4,6.453548967916181E-5,1.387513028101979E-4,6.453548967916181E-5,1.387513028101979E-4,8.389613658291036E-5,1.387513028101979E-4,8.066936209895227E-5,1.387513028101979E-4,9.034968555082654E-5,8.389613658291036E-5,1.6133872419790455E-4,4.194806829145518E-5,1.355245283262398E-4,3.872129380749709E-5,1.1939065590644936E-4,3.872129380749709E-5,1.1939065590644936E-4,1.2907097935832362E-5,1.1293710693853318E-4,1.2907097935832362E-5,1.1293710693853318E-4,1.6133872419790452E-5,1.1616388142249126E-4,1.6133872419790452E-5,1.1293710693853318E-4,3.872129380749709E-5,1.1616388142249126E-4,3.2267744839580904E-5,1.1616388142249126E-4,3.872129380749709E-5,1.1616388142249126E-4,3.872129380749709E-5,1.1616388142249126E-4,6.453548967916181E-6,1.1293710693853318E-4,6.453548967916181E-6,1.1293710693853318E-4,9.680323451874272E-5
