dep,jour,hosp_t,rea_somme,dc_somme
01,2020-03-19,1,0,0
01,2020-03-20,0,0,0
01,2020-03-21,4,0,0
01,2020-03-22,6,1,0
01,2020-03-23,15,2,0
01,2020-03-24,22,3,0
01,2020-03-25,30,5,0
01,2020-03-26,40,8,2
01,2020-03-27,54,10,2
01,2020-03-28,57,13,3
01,2020-03-29,61,15,6
01,2020-03-30,75,21,10
01,2020-03-31,84,21,11
01,2020-04-01,110,35,13
01,2020-04-02,121,41,15
01,2020-04-03,119,44,18
01,2020-04-04,130,53,23
01,2020-04-05,137,57,25
01,2020-04-06,140,59,26
01,2020-04-07,148,62,28
01,2020-04-08,154,70,32
01,2020-04-09,154,73,36
01,2020-04-10,158,75,41
01,2020-04-11,148,78,43
01,2020-04-12,148,80,43
01,2020-04-13,155,81,45
01,2020-04-14,162,82,47
01,2020-04-15,163,82,53
01,2020-04-16,176,83,53
01,2020-04-17,172,85,56
01,2020-04-18,194,88,61
01,2020-04-19,196,89,61
01,2020-04-20,195,90,63
01,2020-04-21,194,93,65
01,2020-04-22,188,94,69
01,2020-04-23,184,94,73
01,2020-04-24,184,94,74
01,2020-04-25,181,94,76
01,2020-04-26,184,94,76
01,2020-04-27,181,94,76
01,2020-04-28,177,94,79
01,2020-04-29,179,94,80
01,2020-04-30,178,96,81
01,2020-05-01,176,96,82
01,2020-05-02,177,97,82
01,2020-05-03,177,97,82
01,2020-05-04,176,97,82
01,2020-05-05,167,99,86
02,2020-03-19,13,9,10
02,2020-03-20,11,12,13
02,2020-03-21,30,15,14
02,2020-03-22,32,16,17
02,2020-03-23,52,17,19
02,2020-03-24,72,21,22
02,2020-03-25,78,26,23
02,2020-03-26,89,29,25
02,2020-03-27,99,32,26
02,2020-03-28,108,34,30
02,2020-03-29,111,35,31
02,2020-03-30,115,39,33
02,2020-03-31,125,45,40
02,2020-04-01,145,49,48
02,2020-04-02,167,50,56
02,2020-04-03,191,54,74
02,2020-04-04,204,58,84
02,2020-04-05,204,58,90
02,2020-04-06,205,59,96
02,2020-04-07,234,63,105
02,2020-04-08,239,68,109
02,2020-04-09,249,72,118
02,2020-04-10,260,79,126
02,2020-04-11,259,79,130
02,2020-04-12,263,80,132
02,2020-04-13,266,80,137
02,2020-04-14,254,82,142
02,2020-04-15,254,86,145
02,2020-04-16,249,87,149
02,2020-04-17,249,88,155
02,2020-04-18,248,88,158
02,2020-04-19,254,89,159
02,2020-04-20,284,96,165
02,2020-04-21,274,97,178
02,2020-04-22,259,98,183
02,2020-04-23,262,99,184
02,2020-04-24,271,100,187
02,2020-04-25,265,100,191
02,2020-04-26,273,100,194
02,2020-04-27,267,100,196
02,2020-04-28,271,104,201
02,2020-04-29,263,108,206
02,2020-04-30,263,109,207
02,2020-05-01,256,110,209
02,2020-05-02,259,110,209
02,2020-05-03,256,110,213
02,2020-05-04,255,110,218
02,2020-05-05,247,110,221
03,2020-03-19,-3,1,0
03,2020-03-20,-2,1,0
03,2020-03-21,2,1,0
03,2020-03-22,2,1,0
03,2020-03-23,8,2,1
03,2020-03-24,10,2,1
03,2020-03-25,12,3,1
03,2020-03-26,16,4,2
03,2020-03-27,19,6,4
03,2020-03-28,24,7,4
03,2020-03-29,26,10,4
03,2020-03-30,34,14,4
03,2020-03-31,35,16,5
03,2020-04-01,37,17,5
03,2020-04-02,35,20,6
03,2020-04-03,38,20,7
03,2020-04-04,42,20,7
03,2020-04-05,43,24,8
03,2020-04-06,47,25,8
03,2020-04-07,48,25,8
