dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-29,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-05-03,2020-03-21,2020-04-11,2020-05-04,2020-03-24,2020-04-14,2020-05-01,2020-03-23,2020-04-13,2020-05-02,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-05-05,2020-03-27,2020-04-17,2020-04-30,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
01,0.058038146060960326,0.15189773322025027,0.14954665960649965,0.0726643791298605,0.15449519599833067,0.06826483155852639,0.15345807435463946,0.08408165890809169,0.15656203859960235,0.08041154285312549,0.15552984683171592,0.09162954582998079,0.16092168914081398,0.08711657329852647,0.15733457568188117,0.04557264506654467,0.146128035678238,0.03886526105955823,0.1429483181289131,0.03239583907358124,0.14188321770075432,0.002946878020175261,0.10893908068541439,0.16422625777103422,0.001844140698370266,0.10778710525692674,0.16447941690493154,0.012029067677357974,0.1163533490877381,0.1639729509794243,0.008056283798655547,0.11237678582679893,0.16422625777103422,0.021629090987929492,0.1305390601470931,0.01667779733712744,0.1261383184322182,0.028951772793422263,0.1410826746502943,0.1662474108402734,0.026524571766380456,0.1327228207854449,0.1629582437843988,3.69455132364582E-4,0.10576376624052444,3.69455132364582E-4,0.10081033703555425,0.09727946814042103
02,0.07397732284690825,0.19406463006758218,0.19057279632687515,0.09541220957926888,0.1992502974326009,0.0847338081479564,0.1978160342997545,0.10441158840430052,0.20139284978950026,0.10298416072024962,0.20082253522047266,0.11895073279838332,0.20761737236822472,0.10689835296831482,0.2055053833693959,0.06607207738747851,0.18631569278739868,0.05463742687221314,0.17237510443139742,0.05283578781132163,0.15592023590804813,0.019925259609422954,0.14029586788959975,0.21181078584833612,0.017103041097574313,0.13898181399176843,0.2134768792545087,0.03544122208469897,0.1432380321997778,0.21083593811712578,0.025728835708663193,0.14176944153221493,0.21167165578727007,0.04330384289340358,0.1498661428924438,0.03856191442425149,0.14777547850890424,0.05183163827286832,0.15465268453206107,0.21623957611482145,0.046572302210388494,0.15274439373459864,0.20999860916512922,0.01074044183338287,0.13484958032523045,0.008524648853822979,0.1293341250523389,0.12272424729764633
03,0.02411878391723231,0.04968033635322753,0.048942367642264444,0.026717801140721198,0.05139740234217108,0.0254202367398548,0.050171619756186586,0.029816229136099735,0.05213121465176504,0.028269778308356815,0.05213121465176504,0.03263716571550907,0.052375543480658406,0.031357192841151627,0.052375543480658406,0.021766295265800206,0.04770962630392475,0.020453829830826935,0.04647337587648517,0.016757684270863195,0.045233596325140034,0.0038409111669149695,0.040489889975258896,0.053838636886567724,0.003294284937540929,0.039484578225654245,0.05408200729467547,0.007377309200608304,0.042743368849175914,0.05335148654731944,0.006835118765763199,0.041242349560380503,0.053838636886567724,0.011958801389094444,0.044239218141662186,0.00899983094549307,0.04324255796379466,0.01596154384276838,0.045233596325140034,0.054568339352107725,0.013564328104512807,0.04473669182939444,0.052863789155357506,0.0019247017088194463,0.03746694634168699,8.25916854757741E-4,0.03594754718759788,0.03518584956720036
04,0.04208749471663349,0.10315410573588057,0.10113881450055506,0.05724765462430135,0.10582669559720745,0.05350693828581634,0.10516008843347921,0.058734965947467674,0.10649228114036122,0.05724765462430135,0.10582669559720745,0.0675534309946564,0.10848293924094753,0.06682535960552367,0.10782039985707033,0.03899090775171056,0.09843712938410465,0.03508886459371704,0.09775907384917441,0.02316786505202597,0.09091964931886899,0.0016964649771034936,0.07690893487605432,0.10980499347924277,0.0016964649771034936,0.07690893487605432,0.10980499347924277,0.0016964649771034936,0.08256757495410312,0.10980499347924277,0.0016964649771034936,0.07690893487605432,0.10980499347924277,0.016673620946756333,0.08536948455610599,0.015854969466076337,0.08536948455610599,0.02316786505202597,0.08676368954771123,0.11046451445929713,0.01993288188651571,0.08606714652445688,0.10980499347924277,8.49060841118001E-4,0.07476779094054485,8.49060841118001E-4,0.07045357186802674,0.06973035024893087
05,0.054131526164448635,0.08742959955475992,0.08680064291781683,0.06352930050482876,0.08993635677067532,0.059526558051154844,0.0880576466373193,0.06551692174034222,0.08993635677067532,0.06419285217234455,0.08993635677067532,0.07077319748366609,0.08993635677067532,0.06946508058533457,0.08993635677067532,0.0493552621979166,0.08617077408818727,0.044525885390991116,0.08237225586209403,0.038236716213803174,0.08237225586209403,0.009127365336292877,0.07532082523438671,0.09366957014722016,0.006863444578535023,0.07467407234955356,0.09366957014722016,0.01584916819865213,0.07661144871588126,0.09242872792624288,0.012874536830449939,0.07661144871588126,0.09366957014722016,0.026102802564205146,0.08046046488679783,0.021006245544824057,0.07918124604762482,0.032568844813436804,0.08237225586209403,0.09614066917196015,0.029706926833030403,0.08109866409334665,0.09180697480372257,0.0045876604264095105,0.07402635488138794,0.0030638185756326685,0.07272801465610712,0.07207738609711042
06,0.022380779877356802,0.06364019416632921,0.06277686338578757,0.02913936482626184,0.06497106608522352,0.026072541303564855,0.06450181214232184,0.03327915487528496,0.06614198747908843,0.032353243234531495,0.06536172409654588,0.03895956375931084,0.06808653483943561,0.0358779714206358,0.06723200647127343,0.01891817846223237,0.06104503607695699,0.01700191410138986,0.06009748410418869,0.016040601846337803,0.05859295253180154,0.0037061466994569446,0.04831901311998621,0.0693264913759679,0.003526090941528208,0.04783140698878286,0.07079435636065431,0.006755728082651833,0.05236124708485941,0.06886192244391288,0.0056818487424048665,0.050102232982883334,0.06886192244391288,0.010847840735612884,0.05484866800734502,0.009340026254143432,0.053406094126214984,0.014462941044924054,0.0581961553530763,0.07187277528063221,0.012526873278924237,0.05684432670646685,0.06839685602584603,0.003075624681970155,0.046936038046217814,0.0010880034464566127,0.043746590551702366,0.04160720454115092
07,0.08122498855761114,0.13964150735707143,0.1372585412582488,0.09196543039099404,0.1423068074627599,0.08562037700165002,0.140531759425358,0.09427990969701357,0.1472970659450897,0.09229682642531407,0.1443685687940367,0.10695382426627428,0.16249677345364905,0.10212291258682867,0.161650470200642,0.07609748529056055,0.13606213697020467,0.06459924617462771,0.13426132796885004,0.057120435596001655,0.13335811554921906,0.009322591360550093,0.11645736501101771,0.1736260046674388,0.00811789022217946,0.11583022485596874,0.17499731771681476,0.015296474849302907,0.1229882321699755,0.173076264743524,0.012120632675853438,0.11957955302237203,0.1736260046674388,0.03727611896339284,0.12637036558227752,0.03274036513051147,0.12514354419611037,0.05423714213813582,0.1330566268304794,0.18474498461036698,0.0417649907805999,0.1306371527070665,0.17031707832216642,0.005698416098766607,0.11520217777340938,0.002858554159699627,0.11204824610596262,0.1098267861120046
08,0.028144089381743585,0.09792418166783222,0.0971868394161778,0.035861272371437034,0.10049506560098691,0.033731329495487725,0.09939512120067345,0.04469468499927397,0.103050820243085,0.04051069809236363,0.10195733796527386,0.05335200453177246,0.10486719462603568,0.048013092600985324,0.10341470336609339,0.02510553488439884,0.09348123261811325,0.014969333451358613,0.09199009130119148,0.014969333451358613,0.09086836579966161,0.0018421850820060412,0.0717333553594005,0.1077576843768756,0.0013823708708120884,0.06263992065903766,0.1077576843768756,0.0023015129745358326,0.07524046310109317,0.10595338397564917,0.0023015129745358326,0.0717333553594005,0.10667600391258783,0.006868268848843199,0.07910431849771096,0.003218713910809375,0.0779487670880705,0.011836850655744732,0.0886161853924557,0.1084773108578561,0.006868268848843199,0.0844566069680248,0.10486719462603568,4.612793656204374E-4,0.06143965877511121,4.612793656204374E-4,0.05781884082436725,0.05335200453177246
09,0.019305155195386624,0.03869239988764436,0.037788560889399754,0.021189299069938092,0.03959436175266215,0.021189299069938092,0.03959436175266215,0.024933240203812733,0.03959436175266215,0.022128314531765694,0.03959436175266215,0.027720166228895837,0.03959436175266215,0.0258642040799247,0.03959436175266215,0.014558720170925007,0.037788560889399754,0.011685758325194709,0.037788560889399754,0.00975983728915624,0.03688283692837578,0.002951049736882136,0.03324093313867916,0.03959436175266215,0.0019695928629044983,0.03232566518789758,0.03959436175266215,0.003930293628432371,0.03324093313867916,0.03959436175266215,0.003930293628432371,0.03324093313867916,0.03959436175266215,0.008793664517135764,0.03506570255392645,0.008793664517135764,0.03506570255392645,0.00975983728915624,0.03688283692837578,0.03959436175266215,0.00975983728915624,0.03688283692837578,0.03959436175266215,9.859129816510751E-4,0.03232566518789758,0.0,0.03140846425162412,0.030489322147900354
10,0.04610203201619385,0.2049808243290609,0.19799728601048522,0.056985470323506274,0.21466633521501083,0.05395196917594671,0.21185384088335363,0.07281572329471114,0.2160657815878186,0.06956500091778738,0.21466633521501083,0.0779667931028493,0.22868817414666182,0.07378621416091864,0.22276692011036683,0.0342315081701165,0.1889210472751742,0.029605632182351,0.18718237673831095,0.027453879728225224,0.18418550815702922,0.00872030439486179,0.15970084286751188,0.24249059559236874,0.005328833505066964,0.15329047582916383,0.24336618960247455,0.013572807189273822,0.17095465888258324,0.23653370717499786,0.012457801488482386,0.1660179648912044,0.2394120395384349,0.02420612854196089,0.17838305583526606,0.01983766439770348,0.17378730414611696,0.027094215540461427,0.1831819387170348,0.24424002185281887,0.025652572782957,0.18167222289114074,0.23229229841548707,0.00305304935294147,0.1508619821840031,0.002291796779584843,0.13375287150626047,0.0871501757189002
