dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-29,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-05-03,2020-03-21,2020-04-11,2020-05-04,2020-03-24,2020-04-14,2020-05-01,2020-03-23,2020-04-13,2020-05-02,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-05-05,2020-03-27,2020-04-17,2020-04-30,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
01,1.1104587909890968E-4,3.251256389989664E-4,3.1918040373169284E-4,1.4144634745102052E-4,3.3173136051029906E-4,1.3219425626665872E-4,3.2908908396276146E-4,1.6589735395169177E-4,3.3701586537869657E-4,1.579674486214989E-4,3.3437362098224436E-4,1.8241752501940608E-4,3.482452247259455E-4,1.7250549778840288E-4,3.389975381266111E-4,8.593084355366964E-5,3.1059269799360947E-4,7.271182039989388E-5,3.026654342806056E-4,6.0153375707317076E-5,3.0002298088748516E-4,5.288542900366038E-6,2.2140263739041843E-4,3.568321859654907E-4,3.3053468596288667E-6,2.18759689508174E-4,3.574927144130693E-4,2.1814824396201964E-5,2.385814065896074E-4,3.561716565132977E-4,1.4543338015568187E-5,2.293313845346873E-4,3.568321859654907E-4,3.9662502085036315E-5,2.722762495109708E-4,3.0408242248173325E-5,2.617055998190668E-4,5.3543522107416714E-5,2.980411302914443E-4,3.621163854170764E-4,4.891656472956621E-5,2.775614778755953E-4,3.5352952865832046E-4,6.610713844467604E-7,2.141344920118729E-4,6.610713844467604E-7,2.0290166444271573E-4,1.949724347621356E-4
02,2.938058055713728E-4,8.907085301010801E-4,8.709348407802074E-4,3.886725258994922E-4,9.203673761075361E-4,3.4082929186011866E-4,9.121290109418014E-4,4.2991246336267187E-4,9.327246308424011E-4,4.2331433652348404E-4,9.294293972925262E-4,4.983621148095871E-4,9.689705498050015E-4,4.4145894412524395E-4,9.566143263697584E-4,2.5997874580801643E-4,8.470404315962343E-4,2.1212133157856423E-4,7.704046639854851E-4,2.0469470841564253E-4,6.83039875736157E-4,7.429552355869273E-5,6.030774498211072E-4,9.93681942075367E-4,6.356473324591568E-5,5.964819533295547E-4,0.0010035661052944748,1.345481141434435E-4,6.179169507133565E-4,9.879160763104288E-4,9.658170242845025E-5,6.104972636489431E-4,9.92858251652819E-4,1.6590916843032985E-4,6.517161433533379E-4,1.4692774821123815E-4,6.409996109668691E-4,2.005687517818816E-4,6.764455935068577E-4,0.0010200392107762224,1.7911314539027047E-4,6.665539824211312E-4,9.82973844726534E-4,3.9625860897596125E-5,5.75870381183252E-4,3.137077136174385E-5,5.486616080084243E-4,5.165035872887492E-4
03,1.1795782113589812E-4,2.5029456924121767E-4,2.463643557879589E-4,1.3106226825385867E-4,2.594649289848745E-4,1.2451009412169992E-4,2.529146917840195E-4,1.467870828654769E-4,2.633950238848437E-4,1.3892474672963566E-4,2.633950238848437E-4,1.6120099610990912E-4,2.647050476149244E-4,1.5464927666653612E-4,2.647050476149244E-4,1.0616348064035572E-4,2.3981392099351953E-4,9.9610930848214E-5,2.332633873979139E-4,8.126326545833996E-5,2.267127549979687E-4,1.8351098772669366E-5,2.0181945073113446E-4,2.725651070125022E-4,1.5729560708187747E-5,1.9657857327533648E-4,2.738751030818045E-4,3.539071048184329E-5,2.1361119377352232E-4,2.699451030193176E-4,3.276927527210901E-5,2.0575006731908373E-4,2.725651070125022E-4,5.767227092608621E-5,2.214721779370701E-4,4.325492117307173E-5,2.1623153763792569E-4,7.733152202614342E-5,2.267127549979687E-4,2.764950833663338E-4,6.553607815650213E-5,2.2409247437219269E-4,2.6732508322022065E-4,9.1756463144676E-6,1.8609662862611223E-4,3.932443587071106E-6,1.782350041126502E-4,1.743041384884274E-4
04,1.3668383484974908E-4,3.6001674534588435E-4,3.521363622044284E-4,1.8924308819549053E-4,3.705237004416286E-4,1.7610387117519157E-4,3.678969854984874E-4,1.9449866370111924E-4,3.7315039949778125E-4,1.8924308819549053E-4,3.705237004416286E-4,2.2603078120768863E-4,3.810304013469996E-4,2.2340319218942223E-4,3.7840374995027455E-4,1.2617122083742732E-4,3.4162896224619935E-4,1.1303009546299105E-4,3.3900207253455836E-4,7.360433338218501E-5,3.127323014808907E-4,5.25786609895559E-6,2.6018799184507677E-4,3.862836564821747E-4,5.25786609895559E-6,2.6018799184507677E-4,3.862836564821747E-4,5.25786609895559E-6,2.812064785717114E-4,3.862836564821747E-4,5.25786609895559E-6,2.6018799184507677E-4,3.862836564821747E-4,5.2575796719694433E-5,2.917153404865486E-4,4.994715804319609E-5,2.917153404865486E-4,7.360433338218501E-5,2.9696967608724333E-4,3.889102602211053E-4,6.309019232609664E-5,2.943425162330812E-4,3.862836564821747E-4,2.628941006441499E-6,2.523057970610108E-4,2.628941006441499E-6,2.3654097830781324E-4,2.339134528783578E-4
05,2.2971495098258178E-4,3.8585174285069734E-4,3.8279077660844E-4,2.72581621068014E-4,3.980953920833443E-4,2.5421070912517296E-4,3.889126875190027E-4,2.8176678563505904E-4,3.980953920833443E-4,2.756433641752293E-4,3.980953920833443E-4,3.062596081271931E-4,3.980953920833443E-4,3.001365320013876E-4,3.980953920833443E-4,2.0828002916602474E-4,3.797297887918302E-4,1.8684404936100498E-4,3.6136340881614745E-4,1.5928194913398502E-4,3.6136340881614745E-4,3.6762558273409385E-5,3.276896947547187E-4,4.164602187563765E-4,2.7572210442579056E-5,3.246283185495846E-4,4.164602187563765E-4,6.433243493095112E-5,3.3381238242619375E-4,4.103386961522217E-4,5.207937248887698E-5,3.3381238242619375E-4,4.164602187563765E-4,1.0721543126054378E-4,3.5217992755121356E-4,8.577446238854807E-5,3.460574988220075E-4,1.3478083593449028E-4,3.6136340881614745E-4,4.287030051160878E-4,1.2252976097053666E-4,3.5524110954981443E-4,4.072779024930656E-4,1.838166812555521E-5,3.215669207643186E-4,1.2254531862223574E-5,3.1544406045265597E-4,3.12382597925458E-4
06,1.0178250515797397E-4,3.0366771104876694E-4,2.992449371715293E-4,1.335595075857599E-4,3.1050281844959075E-4,1.1907913660650022E-4,3.080904398856639E-4,1.5326812564111882E-4,3.16533706234622E-4,1.4884381984965118E-4,3.1251312368333023E-4,1.8061737914865932E-4,3.2658499977183654E-4,1.6573638129210332E-4,3.221624592750169E-4,8.569199695736426E-5,2.90399254292748E-4,7.684196333172257E-5,2.855742604190161E-4,7.24168788884344E-5,2.7793457715339216E-4,1.649601776532593E-5,2.2646373463551948E-4,3.3301770555528966E-4,1.5691348508572664E-5,2.24050889212743E-4,3.4065641992242317E-4,3.017516702593022E-5,2.46570258527601E-4,3.3060545205206753E-4,2.534728119086898E-5,2.3531071983156685E-4,3.3060545205206753E-4,4.868156555204078E-5,2.590358358732179E-4,4.184233622450851E-5,2.517978022663446E-4,6.517573436061432E-5,2.7592411185221893E-4,3.4628486032678164E-4,5.6325282641351025E-5,2.690884602114592E-4,3.281931851502008E-4,1.3679668844044349E-5,2.1962730445421001E-4,4.828167617759083E-6,2.039433226906543E-4,1.9348702016905002E-4
07,2.895438326088854E-4,5.337793164368477E-4,5.231632379476386E-4,3.3202943658794745E-4,5.457220945571491E-4,3.0680411049213946E-4,5.377602789679356E-4,3.413226084559894E-4,5.682797794373378E-4,3.3335704474416736E-4,5.550106949352078E-4,3.930952117125265E-4,6.385991597289019E-4,3.731834023887913E-4,6.346191214348485E-4,2.696272749207996E-4,5.178551013874282E-4,2.25807632697641E-4,5.098927748983016E-4,1.9792010363535066E-4,5.059115569102321E-4,3.055731297527283E-5,4.3291609178140907E-4,6.916628519291285E-4,2.6571698428469278E-5,4.3026148003389824E-4,6.982953576050757E-4,5.048483707531902E-5,4.6078853551617454E-4,6.890098212969653E-4,3.985693801044371E-5,4.4618890713130587E-4,6.916628519291285E-4,1.2620109069008375E-4,4.7538767312339217E-4,1.1026192373773387E-4,4.7007895259380047E-4,1.872958119853011E-4,5.045844761373314E-4,7.460464085956512E-4,1.421396726760387E-4,4.939676839643541E-4,6.757444250272481E-4,1.8600359602446475E-5,4.276068520599587E-4,9.300279380365883E-6,4.1433346878842894E-4,4.050418591154634E-4
08,1.0302867493798152E-4,3.8909126145957767E-4,3.8582303893538214E-4,1.3246095046667928E-4,4.005298466160473E-4,1.2428551845246333E-4,3.956276327252365E-4,1.66796084443344E-4,4.1196813050738503E-4,1.5044635919019125E-4,4.07066045728259E-4,2.0112850411375144E-4,4.2013814884766246E-4,1.7987542149160092E-4,4.1360214647114376E-4,9.15822513140264E-5,3.6948155738593586E-4,5.39704494346521E-5,3.6294479259262844E-4,5.39704494346521E-5,3.5804215442982113E-4,6.542229883462557E-6,2.7632336937298904E-4,4.332098585134444E-4,4.906681651863024E-6,2.3872756417249878E-4,4.332098585134444E-4,8.177771955628675E-6,2.910338855196937E-4,4.250400860789048E-4,8.177771955628675E-6,2.7632336937298904E-4,4.28308013495119E-4,2.453285391865809E-5,3.073783190818851E-4,1.1448837621846235E-5,3.024750535998476E-4,4.2522732724154514E-5,3.4823671206723713E-4,4.3647772445553707E-4,2.453285391865809E-5,3.302594927271083E-4,4.2013814884766246E-4,1.6355667101781384E-6,2.338235235450292E-4,1.6355667101781384E-6,2.1911106939616307E-4,2.0112850411375144E-4
09,5.699103492286378E-5,1.1682357368300943E-4,1.1397459208122871E-4,6.268972710579468E-5,1.1967253659552915E-4,6.268972710579468E-5,1.1967253659552915E-4,7.40868871463772E-5,1.1967253659552915E-4,6.553904515620817E-5,1.1967253659552915E-4,8.26345609000899E-5,1.1967253659552915E-4,7.693613042356066E-5,1.1967253659552915E-4,4.27439773092864E-5,1.1397459208122871E-4,3.419551839535116E-5,1.1397459208122871E-4,2.849645230466459E-5,1.1112559178994178E-4,8.549132023048309E-6,9.972940372473137E-5,1.1967253659552915E-4,5.699440047608262E-6,9.688030998223519E-5,1.1967253659552915E-4,1.1398805299906154E-5,9.972940372473137E-5,1.1967253659552915E-4,1.1398805299906154E-5,9.972940372473137E-5,1.1967253659552915E-4,2.5646891214147058E-5,1.0542753513777207E-4,2.5646891214147058E-5,1.0542753513777207E-4,2.849645230466459E-5,1.1112559178994178E-4,1.1967253659552915E-4,2.849645230466459E-5,1.1112559178994178E-4,1.1967253659552915E-4,2.8497293733406234E-6,9.688030998223519E-5,0.0,9.403119754876146E-5,9.118206642406496E-5
10,1.7793757784456102E-4,9.574810747027737E-4,9.169289402548491E-4,2.2276074647297804E-4,0.0010148069424954513,2.1015469787487125E-4,9.980294229591127E-4,2.899868265561188E-4,0.0010231954592160055,2.759822513280853E-4,0.0010148069424954513,3.1239320763193243E-4,0.0011000826467764833,2.941881110637596E-4,0.001063737672732174,1.3030789173216302E-4,8.651845120203656E-4,1.1209516060857352E-4,8.553943320379054E-4,1.0368902709365114E-4,8.386106528773731E-4,3.2230322127789424E-5,7.057169614411254E-4,0.001186739158559745,1.9618741804769437E-5,6.721373829925609E-4,0.0011923293075431292,5.04464027299797E-5,7.658738804226216E-4,0.001149003770725292,4.624275963701086E-5,7.392939437229959E-4,0.0011671730704508022,9.107952173630296E-5,8.064401213918095E-4,7.426627840155825E-5,7.812615213272485E-4,1.0228798902217017E-4,8.33015949016458E-4,0.001197919384572195,9.668379153838206E-5,8.246237580866344E-4,0.0011224472729347119,1.121081812328073E-5,6.595443716681424E-4,8.408140723080043E-6,5.727825922162407E-4,3.530018271121791E-4
