dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-29,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-05-03,2020-03-21,2020-04-11,2020-05-04,2020-03-24,2020-04-14,2020-05-01,2020-03-23,2020-04-13,2020-05-02,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-05-05,2020-03-27,2020-04-17,2020-04-30,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
01,0.012747503708694978,0.03342375548694973,0.03342375548694973,0.015965839010626856,0.03342375548694973,0.014895708328961052,0.03342375548694973,0.0205728412206516,0.03342375548694973,0.019160500197393838,0.03342375548694973,0.022331833021365557,0.03342375548694973,0.02127729308946777,0.03342375548694973,0.007693313044636947,0.03308138693795878,0.007693313044636947,0.032052658904081606,0.0055090947847756455,0.031709207338611115,3.69455132364582E-4,0.02860585920930191,0.03444924470464003,0.0,0.02791320438639493,0.03444924470464003,0.0011074238433277737,0.02929741107820266,0.034107683946253076,7.385962356796471E-4,0.028951772793422263,0.03444924470464003,0.002946878020175261,0.029642774501495005,0.001844140698370266,0.02929741107820266,0.004778574037419685,0.03136548394757568,0.03513156139157654,0.0036804837383676015,0.030332678509807823,0.034107683946253076,0.0,0.026872146400301333,0.0,0.026176718738650153,0.025131484824000107
02,0.010961400618054251,0.021868414895425115,0.021652937599065624,0.012064511401380599,0.022083785334702843,0.011182247041274128,0.022083785334702843,0.012944987084416406,0.022083785334702843,0.012944987084416406,0.022083785334702843,0.014043077383468525,0.02380291467262473,0.01316482737354675,0.02294420063724138,0.010076890165867063,0.0214373533395366,0.008746737573520067,0.021221662010591936,0.007857700452610366,0.01970881580633675,0.0036097411504904336,0.017755951992639976,0.02423163581494612,0.0033850092014118924,0.01753842407328974,0.02423163581494612,0.0047316598366838976,0.018190681240054383,0.02423163581494612,0.0038343568689202623,0.017755951992639976,0.02423163581494612,0.0065207230542705386,0.019275604317145506,0.005850687721719944,0.019058836415513654,0.0076351565164554545,0.01949226407813848,0.02423163581494612,0.007189726239558877,0.01949226407813848,0.024017328146199057,0.002710114765821951,0.01753842407328974,0.002034169910453142,0.016012670246373015,0.015138398221071239
03,0.004659562647595009,0.009808824315535284,0.009808824315535284,0.005476673861174147,0.009808824315535284,0.005476673861174147,0.009808824315535284,0.00656376950238824,0.009808824315535284,0.005476673861174147,0.009808824315535284,0.006835118765763199,0.010347317232515071,0.006835118765763199,0.009808824315535284,0.004386850248113736,0.009539327265681578,0.0038409111669149695,0.009539327265681578,0.0027469698280484576,0.009539327265681578,2.754801753663592E-4,0.00872983125889597,0.010347317232515071,2.754801753663592E-4,0.00872983125889597,0.010347317232515071,5.507857198650022E-4,0.009269662878313236,0.010347317232515071,5.507857198650022E-4,0.00872983125889597,0.010347317232515071,0.0011008738008861376,0.009269662878313236,8.25916854757741E-4,0.009269662878313236,0.0019247017088194463,0.009269662878313236,0.010347317232515071,0.0016502660081212767,0.009269662878313236,0.010347317232515071,2.754801753663592E-4,0.008459663609808042,2.754801753663592E-4,0.007918823587354375,0.007648150794608183
04,0.003386328906478278,0.007582443500086404,0.007582443500086404,0.004228801492498598,0.007582443500086404,0.003386328906478278,0.007582443500086404,0.005908859610520315,0.007582443500086404,0.004228801492498598,0.007582443500086404,0.005908859610520315,0.008416823164811694,0.005908859610520315,0.007582443500086404,0.0025422188605630242,0.007582443500086404,0.0025422188605630242,0.007582443500086404,0.0,0.007582443500086404,0.0,0.007582443500086404,0.008416823164811694,0.0,0.007582443500086404,0.008416823164811694,0.0,0.007582443500086404,0.008416823164811694,0.0,0.007582443500086404,0.008416823164811694,0.0,0.007582443500086404,0.0,0.007582443500086404,0.0,0.007582443500086404,0.008416823164811694,0.0,0.007582443500086404,0.008416823164811694,0.0,0.006746457713745119,0.0,0.005908859610520315,0.005908859610520315
05,0.009127365336292877,0.01880356382270569,0.01880356382270569,0.014364399292960999,0.01880356382270569,0.012874536830449939,0.01880356382270569,0.015107418262741944,0.01880356382270569,0.015107418262741944,0.01880356382270569,0.016589653428175935,0.01880356382270569,0.01584916819865213,0.01880356382270569,0.007619396870191973,0.01880356382270569,0.006863444578535023,0.01880356382270569,0.006863444578535023,0.01806684696766307,0.0,0.01806684696766307,0.01880356382270569,0.0,0.01806684696766307,0.01880356382270569,0.0030638185756326685,0.01806684696766307,0.01880356382270569,0.002299887891580386,0.01806684696766307,0.01880356382270569,0.0045876604264095105,0.01806684696766307,0.0030638185756326685,0.01806684696766307,0.005347580973585643,0.01806684696766307,0.01880356382270569,0.005347580973585643,0.01806684696766307,0.01880356382270569,0.0,0.01806684696766307,0.0,0.01806684696766307,0.01806684696766307
06,0.004425624158526008,0.015077157002101637,0.014814027953214317,0.006755728082651833,0.015602937310755524,0.005950567621909235,0.015515351451448176,0.008005240400940172,0.016302989014868898,0.007826958591415486,0.016040601846337803,0.009961525158802236,0.01726372129221999,0.008984484292490455,0.016652592158644758,0.003616128151740511,0.014462941044924054,0.0033459605026525245,0.014462941044924054,0.0028953072694137072,0.014111570085706142,7.256384009005842E-4,0.012791391294554715,0.017525370752028927,6.349998777909341E-4,0.01261506385327613,0.01769971619070247,0.0012690726514573787,0.013495986025301094,0.017525370752028927,0.0011785474855427387,0.013143831550783266,0.017525370752028927,0.0018118277505140333,0.013759914615559,0.0017214156586077105,0.013583980044830876,0.00253444768745268,0.014111570085706142,0.01787399166732009,0.002173288014328724,0.014023682909062375,0.017438171779363118,6.349998777909341E-4,0.012438664792401228,3.629707540186522E-4,0.011820703234062063,0.011378763151249482
07,0.007715579418140407,0.019233895127640697,0.019233895127640697,0.009723416937597876,0.020408193676097346,0.008921395505780437,0.019625680884389842,0.010123872919778096,0.020408193676097346,0.009723416937597876,0.020408193676097346,0.012120632675853438,0.021579325572939897,0.011722014491004736,0.021189299069938092,0.007312895585949703,0.019233895127640697,0.0052938567011808655,0.01805641275635928,0.004888920091980973,0.017663208128409852,0.0012273992585264918,0.0156918271587203,0.021579325572939897,8.186514806800671E-4,0.015296474849302907,0.02196900211940921,0.002043742509986311,0.016875729250996046,0.021579325572939897,0.0012273992585264918,0.0156918271587203,0.021579325572939897,0.003265387427767371,0.01726964717542033,0.0024513394257832653,0.01726964717542033,0.004483605567085368,0.017663208128409852,0.02196900211940921,0.004077912420439447,0.017663208128409852,0.021579325572939897,8.186514806800671E-4,0.014900762309940911,4.095186365704493E-4,0.014108253911366875,0.013314296684932572
08,0.008681609612311538,0.01630494029151618,0.01630494029151618,0.009133764241288462,0.01719306837588089,0.009133764241288462,0.01674923136034453,0.010036663697277572,0.01719306837588089,0.010036663697277572,0.01719306837588089,0.010487410475573902,0.01719306837588089,0.010036663697277572,0.01719306837588089,0.008681609612311538,0.01541499227127988,0.0050473249572174665,0.01541499227127988,0.0050473249572174665,0.01541499227127988,4.612793656204374E-4,0.011836850655744732,0.018521864359692757,4.612793656204374E-4,0.011836850655744732,0.018521864359692757,9.22069310071418E-4,0.013182110838987935,0.01719306837588089,9.22069310071418E-4,0.011836850655744732,0.01719306837588089,0.003218713910809375,0.013629606480747923,0.0013823708708120884,0.013629606480747923,0.003676589000035766,0.01541499227127988,0.018521864359692757,0.003676589000035766,0.014969333451358613,0.01719306837588089,4.612793656204374E-4,0.011387502988236424,4.612793656204374E-4,0.011387502988236424,0.010487410475573902
09,0.006854846645749028,0.007825337511956526,0.007825337511956526,0.006854846645749028,0.007825337511956526,0.006854846645749028,0.007825337511956526,0.006854846645749028,0.007825337511956526,0.006854846645749028,0.007825337511956526,0.006854846645749028,0.007825337511956526,0.006854846645749028,0.007825337511956526,0.003930293628432371,0.007825337511956526,0.003930293628432371,0.007825337511956526,0.002951049736882136,0.007825337511956526,0.0,0.006854846645749028,0.007825337511956526,0.0,0.006854846645749028,0.007825337511956526,0.0019695928629044983,0.006854846645749028,0.007825337511956526,0.0019695928629044983,0.006854846645749028,0.007825337511956526,0.0019695928629044983,0.006854846645749028,0.0019695928629044983,0.006854846645749028,0.0019695928629044983,0.007825337511956526,0.007825337511956526,0.0019695928629044983,0.007825337511956526,0.007825337511956526,0.0,0.006854846645749028,0.0,0.006854846645749028,0.006854846645749028
10,0.006462269072904015,0.015424812050867286,0.015055042354707896,0.007216252737811211,0.015424812050867286,0.007216252737811211,0.015424812050867286,0.009095504834529618,0.015424812050867286,0.00872030439486179,0.015424812050867286,0.009844934670030678,0.018738647830013173,0.009095504834529618,0.01726895274923763,0.004571563074483443,0.015055042354707896,0.004192432119018988,0.0132014566049523,0.004192432119018988,0.0132014566049523,0.0015292075021645442,0.012457801488482386,0.02239127223646255,0.0015292075021645442,0.012457801488482386,0.02239127223646255,0.0015292075021645442,0.012829788219492882,0.01983766439770348,0.0015292075021645442,0.012457801488482386,0.020568800061803817,0.004192432119018988,0.012829788219492882,0.0034331758383939516,0.012829788219492882,0.004192432119018988,0.012829788219492882,0.02239127223646255,0.004192432119018988,0.012829788219492882,0.01983766439770348,7.652768181122678E-4,0.012457801488482386,7.652768181122678E-4,0.012457801488482386,0.0105930734974242
