dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-03-21,2020-04-11,2020-03-24,2020-04-14,2020-03-23,2020-04-13,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-03-27,2020-04-17,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
01,0.7422781916068434,0.0,0.0,0.2886024940798983,0.0,0.5206212286759118,0.0,0.34141455932744025,0.0,0.5508231047523733,0.0,0.26516450977807016,0.16929380759878143,0.0,0.0,0.24180959883021305,0.5885190554114832,0.0,0.25595802480981544,0.0,0.0,0.15773243839286435,0.0,0.251430461184661,0.0,0.0,0.0,0.0,0.3562071871080222,0.0,0.430676558073393,0.0,0.4283173410313947,0.24475412980126737,0.47712125471966244,0.15561139140249397,0.0,0.16005307325482135,0.0,0.255249924171162,0.48782493681490247
02,0.3562071871080222,0.0,0.0,0.34753068574288,0.0,0.0,0.0,0.0,0.0,0.34141455932744025,0.0,0.3346003576203483,0.0,0.41811919368617945,0.4706903945498366,0.0,0.3784007190337401,0.428303740415246,0.0,0.0,0.0,0.0,0.4056838710822129,0.0,0.455340497393906,0.0,0.0,0.0,0.32625951034201905,0.0,0.4939810388219653,0.3128755766841431,0.1965616322328226,0.0,0.3169925001442312,0.0,0.44211410869774026,0.4112644522515654,1.0,0.32415304878624457,0.3814278880116249
03,0.0,0.0,0.0,0.0,0.0,0.3667257913420846,0.0,0.430676558073393,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5252990700743871,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.1949590218937863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3868528072345416,0.0,0.0,0.19999999999999998,0.0,0.0,0.32625951034201905
04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3562071871080222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05,0.2789429456511298,0.0,0.0,0.3667257913420846,0.0,0.568060967173733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3154648767857287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3868528072345416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2153382790366965
06,0.5616594212987628,0.21391265684077274,0.2708667520770745,0.507356238468136,0.0,0.6738217512001142,0.3116175424422214,0.15403922195426356,0.21066650477240326,0.5549965867550204,0.30959677436657207,0.5081902821649328,0.5195737064824407,0.13264079256781564,0.29583707248290936,0.0,0.442446678034194,0.2721559374663339,0.46029870782235105,0.0,0.0,0.1394714728255649,0.0,0.1398650865947379,0.0,0.27594094950458103,0.6274735630753034,0.27741354282628344,0.0,0.13743580294959373,0.5466025697329026,0.0,0.4160291953530189,0.0,0.43620858397106316,0.21700576117605055,0.5645750340535797,0.39377801601999085,1.0,0.3291049105566273,0.5714285714285714
07,0.23540891336663824,0.0,0.0,0.21810429198553158,0.17458343004804494,0.35541805240316376,0.0,0.0,0.0,0.0,0.0,0.0,0.4116936649208689,0.0,0.568060967173733,0.2808297106493814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18920035951687006,0.430676558073393,0.36633850182726724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3154648767857287,0.0,0.0,0.19195872000656017,0.0,0.1949590218937863,0.31420274927343145
08,0.0,0.0,0.19195872000656017,0.0,0.0,0.0,0.0,0.0,0.0,0.22106472945750374,0.0,0.0,0.0,0.0,0.6941346394792774,0.0,0.0,0.0,0.44211410869774026,0.0,0.0,0.0,0.0,0.0,0.0,0.3230075074711545,0.0,0.0,0.7124143742160444,0.0,0.0,0.0,0.0,0.0,0.3154648767857287,0.31154281616956675,0.0,0.0,0.0,0.21274605355336315,0.0
09,0.5645750340535797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.5568273036287807,0.0,0.0,0.0,0.0,0.23137821315975918,0.0,0.0,0.0,0.5,0.0,0.20801459767650946,0.0,0.4974178695665277,0.0,0.4305992976375694,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2789429456511298,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45268083028694284,0.2037950470905062
11,0.3230075074711545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19195872000656017,0.1949590218937863,0.0,0.0,0.0,0.21030991785715247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5578858913022596,0.0,0.3877619350384901,0.0,0.0,0.0,0.5064224831767223,0.0,0.23540891336663824,0.0,0.3562071871080222,0.1879018247091076,1.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27023815442731974,0.0,0.0,0.0,0.0,0.3154648767857287,0.0,0.3562071871080222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
13,0.6139326343014575,0.42905006040100924,0.30965445663300967,0.5935314579148391,0.2820500547798556,0.5467554020170668,0.44672959677071516,0.4000500730485463,0.3446613369256605,0.4731388024925956,0.21798541690801887,0.39443155415164616,0.48780024748768785,0.2806115769175806,0.5770545446031452,0.31030357816792786,0.67206867666688,0.48652671222403104,0.6526595731190848,0.3130180869455008,0.0,0.36362040153898123,0.704666080635212,0.3649254370643811,0.7027814332689931,0.4080946520542181,0.7051657375555285,0.3430596916702313,0.6655114283786817,0.45031641795933397,0.3716317274634348,0.44231169972039597,0.57051352841344,0.35424619032772375,0.5864948738212443,0.4147619021948717,0.44848764843515093,0.5669667192743993,1.0,0.4049419095496171,0.49976523926144945
14,0.49491262604822334,0.0,0.0,0.4276627979043037,0.0,0.5366486732967418,0.1505149978319906,0.255249924171162,0.0,0.37756480872572484,0.0,0.0,0.36833896793742493,0.0,0.4734856448969273,0.0,0.0,0.0,0.38391744001312034,0.15221034671324338,0.430676558073393,0.0,1.0,0.0,0.647685462377997,0.0,0.3562071871080222,0.0,0.3667257913420846,0.3073237725797285,0.568060967173733,0.0,0.5947195895116816,0.0,0.5,0.15292486830283214,0.0,0.0,0.0,0.15643778834207156,0.24930389866568922
15,0.0,0.0,0.0,0.3562071871080222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2789429456511298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2890648263178878,0.0,0.6309297535714574,0.0,0.0,0.0,0.0,0.0,0.430676558073393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0
17,0.31420274927343145,0.0,0.0,0.0,0.0,0.1949590218937863,0.0,0.19195872000656017,0.0,0.0,0.0,0.0,0.0,0.0,0.3230075074711545,0.0,0.3333333333333333,0.0,0.5064224831767223,0.0,0.0,0.0,0.6309297535714574,0.0,0.0,0.0,0.0,0.0,0.783091851446946,0.0,0.0,0.18208790046993825,0.5466025697329026,0.17905223175104137,0.26264953503719357,0.0,0.0,0.0,0.0,0.0,0.18665241123894338
18,0.0,0.0,0.0,0.0,0.31154281616956675,0.0,0.0,0.0,0.0,0.3667257913420846,0.0,0.33719451705849546,0.22106472945750374,0.0,0.25595802480981544,0.0,0.5404763088546395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6826061944859853,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.4056838710822129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2153382790366965,0.2890648263178878,0.0,0.0,0.0,0.0,0.0,0.6309297535714574,0.0,0.0,0.0,0.3868528072345416,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.22424382421757547,0.0,0.0,0.0
21,0.49281614988615063,0.21727825959450758,0.0,0.4065971460152361,0.3163454422058795,0.480159219764464,0.0,0.15366188628986424,0.21516334130157636,0.4335192224919382,0.0,0.3804539715508719,0.5670562555450077,0.0,0.16929380759878143,0.31993992125214515,0.0,0.0,0.5121218389911604,0.35903890856576304,0.7359804244028083,0.0,0.0,0.0,0.0,0.0,0.20801459767650946,0.22791454684042153,0.0,0.3271227951281543,0.6285099898418801,0.3985232618292622,0.5315514604066737,0.28012964698797593,0.29392974790871934,0.0,0.5119160496196309,0.4064571290361184,1.0,0.0,0.14662371845531108
22,0.2890648263178878,0.0,0.0,0.0,0.0,0.7334515826841692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6309297535714574,0.0,0.0,0.0,0.6131471927654584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44211410869774026,0.0,0.0,0.0,0.0,0.23981246656813146,0.0,0.0,0.0,0.0,0.0,0.0,0.430676558073393,0.0,0.6309297535714574,0.0,0.3154648767857287,0.0,0.3562071871080222,0.0,0.0,0.0,0.0,0.0,0.25595802480981544
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3154648767857287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2789429456511298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.46116994801745437,0.0,0.22105705434887013,0.5836312964763891,0.0,0.5285147997240949,0.13889520968509134,0.1498705416319474,0.0,0.45154499349597177,0.21925608713979672,0.4852725035264762,0.23605965801383003,0.13779062407514628,0.5058392960685033,0.14006482349398797,0.0,0.0,0.7170434288152172,0.0,0.0,0.14285714285714285,0.6324124771567161,0.14332232775009315,0.5132964061160519,0.0,0.0,0.0,0.21030991785715247,0.3286015831816776,0.2153382790366965,0.0,0.0,0.1408841194731412,0.5518182657364912,0.0,0.0,0.0,1.0,0.33445059323990617,0.2302839896466974
26,0.4088883109587491,0.0,0.0,0.31204213004445003,0.0,0.0,0.0,0.0,0.14308844150498737,0.3088453256022203,0.0,0.34948500216800943,0.39345803847549976,0.0,0.37393438007601115,0.1442847926987864,0.5663285205969221,0.0,0.44127191653083575,0.0,0.2890648263178878,0.0,0.5,0.23510646924747008,0.5372435736804817,0.14746305199023915,0.5119160496196309,0.0,0.6180054777578523,0.2911053607240335,0.5499405706118586,0.23239309546796458,0.5560842949280449,0.0,0.5528664994461185,0.0,0.0,0.14924393652741208,1.0,0.0,0.0
27,0.0,0.5972536805913646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25595802480981544,0.27023815442731974,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6309297535714574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373114300021637,0.0,0.0,0.0
28,0.19195872000656017,0.16794877895704194,0.0,0.0,0.0,0.2978173459810155,0.0,0.28694572692954445,0.0,0.29209088984235726,0.0,0.0,0.17905223175104137,0.0,0.1949590218937863,0.0,0.19823986317056053,0.0,0.31992323303744613,0.0,0.0,0.0,0.0,0.0,0.2890648263178878,0.1729696904450771,0.9463946303571861,0.0,0.44848764843515093,0.0,0.6732387083908185,0.0,0.0,0.0,0.5377099345963751,0.2694303372517385,0.0,0.0,0.0,0.0,0.2794153127047222
29,0.5275071124607184,0.0,0.0,0.28694572692954445,0.0,0.29209088984235726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46029870782235105,0.0,0.4160291953530189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6131471927654584,0.0,0.6309297535714574,0.0,0.0,0.0,0.7210570543488701,0.0,0.7245267751622539,0.16999161628691403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.45268083028694284,0.0,0.0,0.2903163939832937,0.0,0.4824894837218527,0.24728753738280387,0.5262751907458635,0.15520856277015513,0.0,0.0,0.16999161628691403,0.398075069005027,0.0,0.5268025545616607,0.0,0.43620858397106316,0.3662433801794818,0.23137821315975918,0.0,0.0,0.0,0.0,0.2603650391064418,0.6989700043360189,0.0,0.861353116146786,0.0,0.26264953503719357,0.0,0.2789429456511298,0.1631512196835108,0.4796249331362629,0.0,0.0,0.3210881708680428,0.0,0.26317929258527467,0.0,0.0,0.1686130986895011
31,0.533917177626343,0.0,0.13145215979284927,0.1417377701235801,0.0,0.45069449125260796,0.13107265131218437,0.13966731425231918,0.0,0.4201944704819639,0.0,0.1376124087861776,0.43735605737815103,0.0,0.44325033953605825,0.0,0.5867777864565256,0.0,0.4932764401159909,0.20875488566366096,0.4056838710822129,0.0,0.5578858913022596,0.21294834518160222,0.6398464660748923,0.2672433501203993,0.6295320036582306,0.0,0.7258625462764671,0.13264079256781564,0.6415482152485357,0.30862085119376764,0.41248612569377846,0.0,0.5154561545121918,0.26420583211639004,0.7739760316291209,0.26961981193161594,1.0,0.2708667520770745,0.4313569552327511
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3154648767857287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,0.5065784817418645,0.2038592811058237,0.20438239758848617,0.3571177067064894,0.0,0.4626699381900465,0.0,0.13657604759848216,0.0,0.384370098015096,0.0,0.31337637801815266,0.31520859763600334,0.0,0.5627486399349787,0.0,0.5478166315806011,0.0,0.5056318270792695,0.25880183572788146,0.0,0.0,0.8668214419824227,0.263941773045785,0.8015019879940583,0.0,0.48832450690597573,0.3046329452865053,0.5244404879704908,0.13057879143873863,0.4812974212166097,0.13082402064781276,0.4033086024050289,0.20582753176902613,0.5870191026569519,0.20638929721599603,0.7124143742160444,0.2650096686299463,1.0,0.34394168957542426,0.37593776254376504
