dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-29,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-05-03,2020-03-21,2020-04-11,2020-05-04,2020-03-24,2020-04-14,2020-05-01,2020-03-23,2020-04-13,2020-05-02,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-05-05,2020-03-27,2020-04-17,2020-04-30,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
01,2.313689974877306E-5,6.213631217038368E-5,6.213631217038368E-5,2.9086189030806E-5,6.213631217038368E-5,2.7103101658758537E-5,6.213631217038368E-5,3.767946300636175E-5,6.213631217038368E-5,3.503539681615964E-5,6.213631217038368E-5,4.09845231069703E-5,6.213631217038368E-5,3.900149006489838E-5,6.213631217038368E-5,1.3882287762012825E-5,6.147533435534428E-5,1.3882287762012825E-5,5.9492394874323146E-5,9.915965110421757E-6,5.8831413035338244E-5,6.610713844467604E-7,5.2882531214375296E-5,6.41192395796418E-5,0.0,5.156054641022463E-5,6.41192395796418E-5,1.9832111345526736E-6,5.42045119944396E-5,6.345826478252937E-5,1.322141762629964E-6,5.3543522107416714E-5,6.41192395796418E-5,5.288542900366038E-6,5.4865500875447025E-5,3.3053468596288667E-6,5.42045119944396E-5,8.593849510126568E-6,5.8170430190359315E-5,6.54411861559611E-5,6.610668562975147E-6,5.6187475619427715E-5,6.345826478252937E-5,0.0,4.9577561658783105E-5,0.0,4.825556679430934E-5,4.627256695226834E-5
02,4.045136122100595E-5,8.172437691980244E-5,8.089895504376145E-5,4.457883930174285E-5,8.254979722694978E-5,4.127685997532034E-5,8.254979722694978E-5,4.7880793523212026E-5,8.254979722694978E-5,4.7880793523212026E-5,8.254979722694978E-5,5.200820099662974E-5,8.915310320824042E-5,4.870627815593593E-5,8.585146276768617E-5,3.7149350512637984E-5,8.007353159901369E-5,3.219628737643609E-5,7.924810658545678E-5,2.8894213902580508E-5,7.347008756330476E-5,1.320902202991404E-5,6.604109300544235E-5,9.080391401598415E-5,1.2383469922911869E-5,6.5215641321121E-5,9.080391401598415E-5,1.7336759025177595E-5,6.769199166716658E-5,9.080391401598415E-5,1.4034572567527483E-5,6.604109300544235E-5,9.080391401598415E-5,2.3941056616454018E-5,7.18192108659523E-5,2.1464456788975873E-5,7.099377016387945E-5,2.806869161120826E-5,7.264464999905995E-5,9.080391401598415E-5,2.641764232090306E-5,7.264464999905995E-5,8.997850939648108E-5,9.906804186381191E-6,6.5215641321121E-5,7.430124325908613E-6,5.9437435601454084E-5,5.613556924474927E-5
03,2.2283376198731387E-5,4.718697311736572E-5,4.718697311736572E-5,2.621561802068976E-5,4.718697311736572E-5,2.621561802068976E-5,4.718697311736572E-5,3.145855173361951E-5,4.718697311736572E-5,2.621561802068976E-5,4.718697311736572E-5,3.276927527210901E-5,4.9808321302367214E-5,3.276927527210901E-5,4.718697311736572E-5,2.0972621012721927E-5,4.587629309149193E-5,1.8351098772669366E-5,4.587629309149193E-5,1.3108006819278891E-5,4.587629309149193E-5,1.3108184854415011E-6,4.194422928038114E-5,4.9808321302367214E-5,1.3108184854415011E-6,4.194422928038114E-5,4.9808321302367214E-5,2.621633014392954E-6,4.456560911013284E-5,4.9808321302367214E-5,2.621633014392954E-6,4.194422928038114E-5,4.9808321302367214E-5,5.243250203403407E-6,4.456560911013284E-5,3.932443587071106E-6,4.456560911013284E-5,9.1756463144676E-6,4.456560911013284E-5,4.9808321302367214E-5,7.864851567029556E-6,4.456560911013284E-5,4.9808321302367214E-5,1.3108184854415011E-6,4.063353343213363E-5,1.3108184854415011E-6,3.8012129868390206E-5,3.670142215294297E-5
04,1.0515668543357921E-5,2.3659896175855806E-5,2.3659896175855806E-5,1.3144545895631475E-5,2.3659896175855806E-5,1.0515668543357921E-5,2.3659896175855806E-5,1.8402252861093756E-5,2.3659896175855806E-5,1.3144545895631475E-5,2.3659896175855806E-5,1.8402252861093756E-5,2.628869396475406E-5,1.8402252861093756E-5,2.3659896175855806E-5,7.886775277927799E-6,2.3659896175855806E-5,7.886775277927799E-6,2.3659896175855806E-5,0.0,2.3659896175855806E-5,0.0,2.3659896175855806E-5,2.628869396475406E-5,0.0,2.3659896175855806E-5,2.628869396475406E-5,0.0,2.3659896175855806E-5,2.628869396475406E-5,0.0,2.3659896175855806E-5,2.628869396475406E-5,0.0,2.3659896175855806E-5,0.0,2.3659896175855806E-5,0.0,2.3659896175855806E-5,2.628869396475406E-5,0.0,2.3659896175855806E-5,2.628869396475406E-5,0.0,2.1031082474667774E-5,0.0,1.8402252861093756E-5,1.8402252861093756E-5
05,3.6762558273409385E-5,7.658515167841531E-5,7.658515167841531E-5,5.820594692301972E-5,7.658515167841531E-5,5.207937248887698E-5,7.658515167841531E-5,6.126920173009739E-5,7.658515167841531E-5,6.126920173009739E-5,7.658515167841531E-5,6.739564652598214E-5,7.658515167841531E-5,6.433243493095112E-5,7.658515167841531E-5,3.063568132866093E-5,7.658515167841531E-5,2.7572210442579056E-5,7.658515167841531E-5,2.7572210442579056E-5,7.352200489931304E-5,0.0,7.352200489931304E-5,7.658515167841531E-5,0.0,7.352200489931304E-5,7.658515167841531E-5,1.2254531862223574E-5,7.352200489931304E-5,7.658515167841531E-5,9.190931314106233E-6,7.352200489931304E-5,7.658515167841531E-5,1.838166812555521E-5,7.352200489931304E-5,1.2254531862223574E-5,7.352200489931304E-5,2.144520384128285E-5,7.352200489931304E-5,7.658515167841531E-5,2.144520384128285E-5,7.352200489931304E-5,7.658515167841531E-5,0.0,7.352200489931304E-5,0.0,7.352200489931304E-5,7.352200489931304E-5
06,1.9714679883257045E-5,6.799174935681435E-5,6.678488802281265E-5,3.017516702593022E-5,7.040546196352372E-5,2.655425768120794E-5,7.000317746064385E-5,3.580763266830952E-5,7.362372457171831E-5,3.50029991917293E-5,7.24168788884344E-5,4.465850252069949E-5,7.80487967184709E-5,4.023309014201199E-5,7.523284693277035E-5,1.609368332331265E-5,6.517573436061432E-5,1.48866777609098E-5,6.517573436061432E-5,1.2874994369083312E-5,6.356657473604003E-5,3.218784375802931E-6,5.753217304177292E-5,7.925562675153938E-5,2.8164376334435957E-6,5.6727579814084116E-5,8.006017824388993E-5,5.632857002161684E-6,6.075053104626341E-5,7.925562675153938E-5,5.230512496284846E-6,5.914135502528899E-5,7.925562675153938E-5,8.046916209808905E-6,6.195740914923845E-5,7.644573940389702E-6,6.115282411990424E-5,1.1265640946465336E-5,6.356657473604003E-5,8.086472824577278E-5,9.656281559990978E-6,6.316428389828511E-5,7.885335044653339E-5,2.8164376334435957E-6,5.5922985095863854E-5,1.6093951699622588E-6,5.310689184307762E-5,5.109538548256548E-5
07,2.5243152117939368E-5,6.37693451763686E-5,6.37693451763686E-5,3.188584302942579E-5,6.775461836859093E-5,2.9228778857062936E-5,6.50977736371783E-5,3.321436901954667E-5,6.775461836859093E-5,3.188584302942579E-5,6.775461836859093E-5,3.985693801044371E-5,7.173985499046937E-5,3.852843234011027E-5,7.041144684646382E-5,2.3914601743253053E-5,6.37693451763686E-5,1.7271788906605168E-5,5.978403541322764E-5,1.5943214146554696E-5,5.845559069862359E-5,3.985858407474049E-6,5.181330617160143E-5,7.173985499046937E-5,2.657243002903466E-6,5.048483707531902E-5,7.306825907118868E-5,6.643077022880826E-6,5.579868907859327E-5,7.173985499046937E-5,3.985858407474049E-6,5.181330617160143E-5,7.173985499046937E-5,1.0628874462413778E-5,5.712714192038828E-5,7.97168023386319E-6,5.712714192038828E-5,1.461463532207733E-5,5.845559069862359E-5,7.306825907118868E-5,1.3286052433244634E-5,5.845559069862359E-5,7.173985499046937E-5,2.657243002903466E-6,4.915636391535261E-5,1.3286235337537397E-6,4.649940540436475E-5,4.384243063824612E-5
08,3.107471425142452E-5,5.887652136689976E-5,5.887652136689976E-5,3.27101639376562E-5,6.214720519857531E-5,3.27101639376562E-5,6.05118663616889E-5,3.598104483409235E-5,6.214720519857531E-5,3.598104483409235E-5,6.214720519857531E-5,3.7616476044389584E-5,6.214720519857531E-5,3.598104483409235E-5,6.214720519857531E-5,3.107471425142452E-5,5.560581290342773E-5,1.7990895043121604E-5,5.560581290342773E-5,1.7990895043121604E-5,5.560581290342773E-5,1.6355667101781384E-6,4.2522732724154514E-5,6.705318476228179E-5,1.6355667101781384E-6,4.2522732724154514E-5,6.705318476228179E-5,3.2711272607836818E-6,4.7428933978203303E-5,6.214720519857531E-5,3.2711272607836818E-6,4.2522732724154514E-5,6.214720519857531E-5,1.1448837621846235E-5,4.90643220796102E-5,4.906681651863024E-6,4.90643220796102E-5,1.3084361215990462E-5,5.560581290342773E-5,6.705318476228179E-5,1.3084361215990462E-5,5.39704494346521E-5,6.214720519857531E-5,1.6355667101781384E-6,4.088731998937428E-5,1.6355667101781384E-6,4.088731998937428E-5,3.7616476044389584E-5
09,1.9947712941536727E-5,2.2797311426519557E-5,2.2797311426519557E-5,1.9947712941536727E-5,2.2797311426519557E-5,1.9947712941536727E-5,2.2797311426519557E-5,1.9947712941536727E-5,2.2797311426519557E-5,1.9947712941536727E-5,2.2797311426519557E-5,1.9947712941536727E-5,2.2797311426519557E-5,1.9947712941536727E-5,2.2797311426519557E-5,1.1398805299906154E-5,2.2797311426519557E-5,1.1398805299906154E-5,2.2797311426519557E-5,8.549132023048309E-6,2.2797311426519557E-5,0.0,1.9947712941536727E-5,2.2797311426519557E-5,0.0,1.9947712941536727E-5,2.2797311426519557E-5,5.699440047608262E-6,1.9947712941536727E-5,2.2797311426519557E-5,5.699440047608262E-6,1.9947712941536727E-5,2.2797311426519557E-5,5.699440047608262E-6,1.9947712941536727E-5,5.699440047608262E-6,1.9947712941536727E-5,5.699440047608262E-6,2.2797311426519557E-5,2.2797311426519557E-5,5.699440047608262E-6,2.2797311426519557E-5,2.2797311426519557E-5,0.0,1.9947712941536727E-5,0.0,1.9947712941536727E-5,1.9947712941536727E-5
10,2.3822642604902653E-5,5.745238413499764E-5,5.6051196895491884E-5,2.6625220531193838E-5,5.745238413499764E-5,2.6625220531193838E-5,5.745238413499764E-5,3.363158622372972E-5,5.745238413499764E-5,3.2230322127789424E-5,5.745238413499764E-5,3.6434100852214936E-5,7.006286586172055E-5,3.363158622372972E-5,6.44582525222691E-5,1.6816118663940205E-5,5.6051196895491884E-5,1.5414800311158072E-5,4.9045192886583505E-5,1.5414800311158072E-5,4.9045192886583505E-5,5.605445235955325E-6,4.624275963701086E-5,8.40740827832157E-5,5.605445235955325E-6,4.624275963701086E-5,8.40740827832157E-5,5.605445235955325E-6,4.7643978522206E-5,7.426627840155825E-5,5.605445235955325E-6,4.624275963701086E-5,7.706853082623682E-5,1.5414800311158072E-5,4.7643978522206E-5,1.2612150040905727E-5,4.7643978522206E-5,1.5414800311158072E-5,4.7643978522206E-5,8.40740827832157E-5,1.5414800311158072E-5,4.7643978522206E-5,7.426627840155825E-5,2.8027316616731276E-6,4.624275963701086E-5,2.8027316616731276E-6,4.624275963701086E-5,3.9236597396013925E-5
